"","id1","card1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","b6","b7","b10","b13","b16","b19","b22","b25","b28","b31","b33","b35","b37","b39","b41","b43","b45","b47","b50","b53","b56","b59","b60","b61","b62","b63","b65","b66","b68","b69","b70","b72","b73","b74","b76","b77","b79","b81","b82","b84","b85","b86","b87","b88","b89","b90","b91","b92","b93","b96","b98","b99","wave","jew"
"345",347,1,3,4,13,3,2,2,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,10,5,3,7,4,8,10,3,10,5,3,9,2,3,8,2,3,6,9,2,2,3,4,5,5,5,5,1,1,2,1,1,1,3,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1,4,3,1,1,1,4,2,1,2,2,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,25,25,9,5,10,3,18,3,30,30,30,10,2,2,1,5,2,NA,1,1,1,1,1,2,70,2,4,32,NA,12,2,3,1,4,3,3,NA,1,2,631,14,1,2,1,1
"346",348,1,5,2,13,5,2,2,NA,NA,NA,NA,NA,NA,1,2,4,1,NA,NA,NA,NA,1,1,2,1,5,1,1,1,1,1,1,1,1,5,1,1,7,1,1,4,4,1,5,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,2,2,4,4,4,4,4,1,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,24,20,3,3,10,2,6,2,20,20,20,20,1,1,1,1,3,2,3,1,1,8,1,7,25,2,6,NA,NA,16,1,1,3,3,2,3,NA,1,2,631,14,1,2,1,1
"347",349,1,5,4,17,4,1,2,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,7,1,9,5,8,2,1,5,5,1,8,6,1,5,5,1,8,5,1,8,2,2,7,1,3,1,3,3,4,1,3,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,4,1,1,1,1,1,2,2,1,1,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,20,30,30,7,10,NA,1,10,50,50,70,0,1,2,4,2,4,1,4,1,1,4,1,1,23,1,6,NA,NA,16,1,3,3,1,2,2,NA,1,2,631,14,1,2,1,1
"348",350,1,5,4,1,3,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,10,1,10,1,1,1,1,1,10,1,5,10,1,1,10,1,1,10,1,1,2,2,7,1,2,2,1,1,1,3,4,4,4,4,1,1,1,2,1,2,2,1,1,3,2,1,1,2,4,3,4,1,1,1,1,1,2,1,2,2,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,30,24,18,4,14,5,9,4,30,30,30,5,1,2,4,2,2,1,2,1,1,1,2,1,60,2,6,NA,NA,12,2,3,1,3,3,3,NA,1,2,241,14,1,2,1,1
"349",351,1,3,2,1,3,4,4,NA,NA,NA,NA,NA,NA,1,4,4,3,NA,NA,NA,NA,1,5,1,4,1,6,1,1,1,7,1,1,3,1,1,3,1,1,1,1,4,4,1,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2,1,3,2,3,1,3,3,2,1,2,4,1,3,4,4,4,2,4,3,4,1,4,1,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,50,0,60,4,3,1,4,97,2,97,2,2,10,3,5,56,3,13,NA,NA,16,1,3,5,6,9,3,NA,3,2,278,14,1,2,1,1
"350",352,1,2,3,1,4,1,3,NA,NA,NA,NA,NA,NA,1,3,4,1,NA,NA,NA,NA,2,9,1,1,1,1,1,1,1,8,1,2,10,2,3,3,3,2,9,1,1,1,2,4,4,4,4,4,4,3,2,2,2,3,1,1,2,2,3,1,3,1,1,3,2,3,1,1,4,2,2,3,3,2,2,2,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,4,2,2,2,1,2,1,2,2,NA,1,4,70,3,3,98,1,15,1,2,3,6,6,4,NA,1,2,122,14,1,6,1,1
"351",353,1,4,2,13,NA,3,3,NA,NA,NA,NA,NA,NA,2,4,4,1,NA,NA,NA,NA,1,5,1,4,3,5,2,4,1,4,2,2,8,8,3,6,3,3,7,4,1,1,2,1,2,1,1,1,3,3,1,1,2,2,1,1,2,2,1,3,2,3,1,3,3,3,1,4,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,34,20,6,6,13,9,8,4,90,80,0,70,5,3,1,3,1,2,1,2,2,2,1,5,33,3,11,NA,NA,18,1,NA,1,4,5,2,NA,3,2,582,14,1,2,1,1
"352",354,1,5,4,1,NA,4,4,NA,NA,NA,NA,NA,NA,2,4,4,1,NA,NA,NA,NA,1,5,1,1,1,8,10,1,1,5,1,1,7,1,1,3,1,1,4,1,4,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,1,1,1,3,3,2,2,1,2,1,4,4,4,4,2,4,4,2,1,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,1,4,8,2,8,2,2,2,1,4,48,3,11,NA,NA,12,2,NA,3,2,2,1,NA,4,2,398,14,1,2,1,1
"353",355,1,4,3,1,3,2,3,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,1,10,1,5,1,5,5,5,5,10,1,5,10,1,5,10,1,5,10,1,3,1,1,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,4,2,4,3,3,3,4,4,4,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,50,5,NA,NA,NA,1,2,1,2,2,2,1,4,82,1,13,NA,NA,12,2,5,5,4,1,3,NA,1,2,278,14,1,2,1,1
"354",356,1,5,3,1,3,3,2,NA,NA,NA,NA,NA,NA,2,4,4,2,NA,NA,NA,NA,1,8,1,6,1,10,6,6,1,8,1,5,8,5,5,8,5,3,10,1,1,1,2,2,3,3,2,2,3,1,4,2,2,2,1,1,1,2,3,3,2,1,1,1,2,2,1,2,4,2,3,1,2,1,1,2,3,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,40,20,10,10,30,80,10,40,50,0,50,0,3,5,1,2,1,2,1,2,2,2,2,5,26,3,11,NA,NA,12,2,4,5,2,3,3,NA,2,2,362,14,1,2,1,1
