"","id1","card1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","b6","b7","b10","b13","b16","b19","b22","b25","b28","b31","b33","b35","b37","b39","b41","b43","b45","b47","b50","b53","b56","b59","b60","b61","b62","b63","b65","b66","b68","b69","b70","b72","b73","b74","b76","b77","b79","b81","b82","b84","b85","b86","b87","b88","b89","b90","b91","b92","b93","b96","b98","b99","wave","jew"
"1",1,1,3,3,1,3,2,3,2,4,4,2,2,2,2,3,2,2,1,3,4,2,8,9,7,8,7,7,4,7,8,9,1,8,9,7,8,9,7,8,9,7,3,3,4,3,5,5,5,5,5,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,97,2,2,2,1,3,41,2,12,NA,NA,16,1,1,1,NA,6,2,NA,1,2,542,12,1,1,1,1
"2",2,1,4,4,2,3,4,4,1,4,4,NA,4,4,2,3,4,2,2,1,3,4,1,7,2,8,5,10,3,6,1,9,1,1,6,7,1,7,7,1,7,7,1,1,1,2,2,2,2,2,4,2,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,2,2,2,2,2,1,4,1,1,1,1,4,5,70,60,50,40,50,50,40,50,NA,NA,NA,NA,NA,NA,NA,NA,60,60,50,30,4,2,1,1,5,2,5,5,5,98,1,5,18,3,6,NA,NA,12,2,3,3,4,7,2,NA,3,2,278,12,1,1,1,1
"3",3,1,5,4,13,4,2,2,1,2,1,2,3,3,NA,3,NA,2,1,3,4,2,6,2,7,1,5,1,1,4,6,4,NA,10,5,2,10,1,2,3,3,1,4,2,5,3,3,2,3,2,1,3,1,3,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,4,1,1,4,2,1,3,1,4,2,2,4,4,5,60,40,30,1,73,80,65,30,NA,NA,NA,NA,NA,NA,NA,NA,80,20,20,60,1,3,3,3,4,1,4,1,1,8,NA,1,47,3,13,NA,NA,15,1,2,1,5,4,3,NA,1,2,278,12,1,1,1,1
"4",4,1,5,4,1,4,2,3,2,2,2,2,3,3,1,4,3,2,1,3,4,2,4,5,4,5,6,5,4,4,5,6,5,5,5,5,4,5,5,6,4,5,4,4,3,2,3,3,2,2,3,2,2,3,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,2,3,2,2,3,2,2,2,2,3,2,1,2,60,70,60,60,70,70,60,60,NA,NA,NA,NA,NA,NA,NA,NA,70,30,50,60,2,3,2,3,98,4,98,1,4,97,1,7,42,2,6,NA,NA,17,2,3,5,4,5,3,NA,1,2,631,12,1,1,1,1
"5",5,1,5,3,13,5,3,2,2,1,3,2,2,2,1,2,2,2,1,2,4,3,8,1,3,5,8,6,5,6,6,5,5,4,5,6,6,4,5,5,6,5,2,4,6,2,3,4,3,3,2,2,2,3,3,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,2,2,3,1,2,2,1,1,1,1,2,6,60,40,80,30,20,20,30,30,NA,NA,NA,NA,NA,NA,NA,NA,40,40,60,20,2,3,4,3,2,1,2,1,1,1,1,2,32,2,12,NA,NA,12,2,4,3,3,4,4,NA,1,2,631,12,1,1,1,1
"6",6,1,4,3,NA,3,3,3,3,3,3,4,2,2,2,4,3,2,1,2,3,4,7,9,6,9,7,10,8,9,6,9,1,2,5,5,5,5,5,5,5,5,1,1,2,2,5,2,2,2,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,4,4,4,4,4,3,4,1,1,1,4,1,4,60,40,30,50,50,60,60,30,NA,NA,NA,NA,NA,NA,NA,NA,80,30,30,50,5,1,1,3,5,2,5,2,2,10,1,5,26,4,1,NA,NA,12,2,5,1,4,5,3,NA,3,2,641,12,1,1,1,1
"7",7,1,3,3,1,2,2,2,2,3,1,2,2,2,2,2,3,1,4,3,2,1,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,8,NA,NA,7,NA,1,1,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,5,NA,4,4,97,1,3,28,1,3,97,1,12,2,5,2,2,2,3,NA,2,2,5,12,1,1,1,1
"8",8,1,3,3,1,3,4,4,4,4,4,4,1,2,NA,4,4,2,4,1,2,3,5,5,2,5,1,8,5,6,5,5,5,1,1,1,1,1,1,1,5,1,4,1,1,1,5,5,3,4,5,3,1,3,4,3,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,3,2,3,4,3,3,1,4,3,1,3,1,80,50,50,50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,60,20,20,20,4,1,1,5,97,2,97,2,2,3,1,5,46,4,5,65,NA,14,2,3,1,5,8,2,NA,3,2,642,12,1,1,1,1
"9",9,1,5,4,13,4,1,2,3,2,2,2,1,2,1,2,1,2,2,3,1,4,9,6,5,4,5,4,5,6,5,7,5,5,4,4,4,3,4,5,4,4,2,2,4,3,2,3,3,2,3,3,3,2,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,2,3,2,3,3,3,2,3,2,2,3,3,4,40,60,80,60,60,50,30,30,NA,NA,NA,NA,NA,NA,NA,NA,60,60,80,40,1,3,2,3,4,1,4,1,1,NA,1,2,50,1,4,56,NA,16,1,3,2,4,3,3,NA,1,2,631,12,1,1,1,1
"10",10,1,4,3,20,4,3,2,2,2,2,2,3,3,1,3,4,1,4,1,2,3,6,5,5,5,4,3,5,5,5,5,1,8,5,1,7,2,1,5,5,1,2,1,4,2,5,5,1,2,3,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,4,NA,NA,NA,NA,NA,NA,3,3,1,1,3,5,80,60,70,50,40,30,60,40,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,50,4,4,2,4,4,3,4,4,4,97,1,3,43,2,12,NA,NA,19,1,2,3,6,4,3,NA,2,2,487,12,1,1,1,1
"11",11,1,2,2,5,5,2,2,2,3,3,2,3,3,1,4,4,1,4,3,2,1,1,10,1,5,8,1,1,9,1,10,1,1,10,8,1,10,8,1,10,8,1,1,1,5,3,NA,2,2,2,3,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,NA,2,2,2,2,1,3,4,1,1,1,1,1,5,100,50,20,40,80,30,60,40,NA,NA,NA,NA,NA,NA,NA,NA,0,90,100,60,3,4,1,5,1,2,1,2,2,2,1,5,44,4,NA,NA,NA,11,NA,1,1,4,6,3,NA,2,2,631,12,1,1,1,1
"12",12,1,5,3,1,4,1,3,2,2,2,2,3,3,1,3,4,2,1,4,3,2,8,6,7,5,4,3,2,1,8,6,4,9,7,5,8,7,6,7,6,8,2,2,6,3,3,3,2,3,3,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,4,1,1,1,1,1,3,1,2,2,2,2,2,5,50,50,20,40,40,50,50,60,NA,NA,NA,NA,NA,NA,NA,NA,60,80,80,80,2,2,3,2,NA,NA,NA,1,1,8,1,2,70,2,4,55,NA,16,1,1,5,4,1,3,NA,2,2,122,12,1,1,1,1
"13",13,1,4,3,13,4,2,3,2,3,3,3,3,3,2,4,4,2,2,1,3,4,5,10,3,2,2,1,1,6,2,10,1,1,1,1,1,9,3,1,5,4,2,1,7,5,2,2,2,2,2,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,4,2,2,2,2,2,2,2,1,1,1,1,1,5,100,70,30,20,60,80,40,10,NA,NA,NA,NA,NA,NA,NA,NA,70,50,0,30,5,1,1,3,1,2,1,2,2,2,1,5,30,3,6,NA,NA,11,NA,4,5,4,5,4,NA,2,2,278,12,1,1,1,1
"14",14,1,5,4,13,5,1,2,2,2,2,2,3,4,NA,3,1,1,4,3,1,2,5,5,1,1,1,1,1,1,5,5,1,5,5,1,3,3,1,1,1,1,4,4,7,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,3,3,1,2,3,3,3,4,4,2,4,2,4,100,90,70,60,50,70,100,60,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,70,1,3,2,4,97,4,97,1,1,4,1,1,54,2,4,57,NA,14,2,1,4,5,5,NA,NA,1,2,643,12,1,1,1,1
"15",15,1,5,3,17,3,1,1,1,1,1,1,3,3,1,3,1,2,3,4,1,2,7,4,7,5,5,1,1,4,7,4,5,8,4,1,7,4,6,7,4,6,2,2,5,5,3,3,3,2,3,2,4,2,1,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,1,1,1,4,1,2,1,1,2,2,2,2,1,90,50,20,80,60,60,70,75,NA,NA,NA,NA,NA,NA,NA,NA,90,70,30,75,1,4,4,4,2,1,2,4,1,1,1,2,38,1,6,NA,NA,18,1,2,1,6,5,2,NA,1,2,581,12,1,1,1,1
"16",16,1,5,4,1,3,3,2,3,2,2,3,3,3,1,2,2,2,1,4,3,2,7,6,5,6,6,4,1,1,7,6,1,7,5,4,6,5,7,5,6,7,2,2,6,3,2,3,3,3,2,3,2,3,3,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,2,3,3,2,3,3,3,2,1,2,2,1,6,60,60,50,80,70,60,60,55,NA,NA,NA,NA,NA,NA,NA,NA,50,60,60,60,2,4,2,4,97,1,97,1,1,1,1,1,35,2,12,NA,NA,13,2,3,3,4,3,2,NA,1,2,631,12,1,1,1,1
"17",17,1,4,3,1,3,3,3,2,3,2,3,2,2,2,3,4,2,1,2,3,4,1,8,1,8,1,8,10,3,1,8,1,1,9,1,1,9,1,1,9,1,1,1,1,3,3,2,1,2,3,3,2,2,2,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,1,3,100,70,40,50,50,70,100,50,NA,NA,NA,NA,NA,NA,NA,NA,100,50,0,50,5,2,2,3,8,2,8,5,5,98,1,4,18,3,12,NA,NA,12,2,4,2,6,6,3,NA,3,2,122,12,1,1,1,1
"18",18,1,2,3,1,4,2,2,2,2,2,2,3,3,NA,2,1,2,4,3,1,2,10,3,9,4,4,4,3,3,10,6,6,10,6,6,8,6,6,9,6,6,2,2,7,3,3,3,3,2,3,1,3,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,1,1,1,1,1,2,1,3,2,3,2,2,6,95,95,96,80,80,40,80,50,NA,NA,NA,NA,NA,NA,NA,NA,90,0,90,80,2,3,4,4,2,1,2,1,1,8,1,1,38,2,14,NA,NA,16,1,3,1,4,4,3,NA,1,2,213,12,1,1,1,1
"19",19,1,4,2,1,5,1,2,1,4,3,2,3,3,1,4,4,2,2,1,3,4,4,5,2,5,8,5,3,5,5,8,2,5,7,8,5,8,8,5,8,7,4,1,4,2,5,5,2,2,2,3,2,1,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,2,4,2,2,2,3,4,1,1,1,1,1,5,100,50,5,50,80,50,80,50,NA,NA,NA,NA,NA,NA,NA,NA,80,100,0,80,2,5,1,4,3,2,3,1,2,4,1,4,40,3,14,NA,NA,14,1,2,3,6,6,3,NA,3,2,278,12,1,1,1,1
"20",20,1,3,4,13,3,2,2,2,4,2,2,4,4,1,3,3,1,4,1,3,2,7,8,2,2,2,1,2,2,2,2,2,8,10,4,6,10,3,7,10,5,1,1,1,2,3,3,4,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,2,2,2,2,2,2,2,1,1,1,1,1,5,100,50,30,40,40,50,30,30,NA,NA,NA,NA,NA,NA,NA,NA,50,50,30,0,4,3,2,3,1,2,1,2,2,2,2,5,35,2,12,NA,NA,13,2,1,1,5,5,1,NA,2,2,363,12,1,1,1,1
"21",21,1,5,4,1,1,1,2,1,2,1,2,4,4,NA,1,1,2,3,4,1,2,5,1,7,3,8,2,1,5,5,2,5,8,2,NA,6,6,8,7,4,10,2,1,6,2,2,2,3,3,3,3,3,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,1,4,1,1,2,1,2,1,1,2,3,3,2,1,80,20,50,70,90,90,40,70,NA,NA,NA,NA,NA,NA,NA,NA,20,80,30,70,1,5,2,3,3,2,3,1,1,8,1,2,44,1,6,NA,NA,23,1,1,1,8,7,2,NA,1,2,406,12,1,1,1,1
"22",22,1,4,3,1,4,3,2,2,3,2,2,3,3,1,2,3,2,1,3,2,4,6,6,3,2,8,2,1,1,6,5,4,6,6,8,7,5,8,7,6,8,2,2,4,3,5,5,5,3,5,3,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,2,1,2,2,1,3,1,1,1,1,1,2,5,100,80,20,60,60,70,60,70,NA,NA,NA,NA,NA,NA,NA,NA,70,60,30,70,1,4,2,2,3,5,3,1,1,8,1,3,30,1,14,NA,NA,15,1,2,1,NA,2,3,NA,1,2,121,12,1,1,1,1
"23",23,1,4,4,13,3,2,2,3,4,1,NA,3,3,1,3,2,3,2,1,3,4,3,3,5,3,5,1,1,1,3,3,5,5,5,5,5,5,5,5,5,5,4,4,6,5,5,5,5,5,5,3,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,100,80,3,3,20,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,80,30,80,3,4,4,4,4,3,4,1,1,8,1,1,42,1,3,71,NA,12,2,3,1,3,2,3,NA,1,2,278,12,1,1,1,1
"24",24,1,5,4,13,5,2,3,2,2,3,2,3,2,2,2,2,2,2,1,3,4,8,1,3,5,4,5,5,4,5,4,4,7,4,5,6,4,4,5,3,3,4,4,7,3,2,3,3,2,3,3,3,3,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,4,2,3,2,2,3,2,2,2,1,2,2,2,3,60,80,60,60,60,70,60,40,NA,NA,NA,NA,NA,NA,NA,NA,60,70,60,60,2,3,2,2,98,4,NA,4,1,NA,1,1,75,2,15,NA,NA,14,1,5,4,2,3,4,NA,1,2,631,12,1,1,1,1
"25",25,1,5,4,1,3,2,2,2,3,2,2,3,3,1,4,4,3,4,3,1,2,3,3,1,1,6,2,1,3,5,5,4,8,3,10,8,3,10,8,3,10,3,2,4,5,5,5,2,1,2,3,3,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,1,90,50,50,90,60,NA,90,60,NA,NA,NA,NA,NA,NA,NA,NA,80,20,40,80,1,4,1,5,3,5,3,1,1,4,1,1,57,1,4,50,NA,18,1,2,1,7,3,2,NA,1,2,278,12,1,1,1,1
"26",26,1,4,3,1,4,3,4,2,4,3,3,1,1,2,4,4,1,2,1,4,3,1,8,1,8,1,10,8,5,1,8,1,1,8,3,1,8,1,1,8,1,1,1,1,3,3,2,1,2,3,3,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,4,2,2,1,2,1,1,1,1,1,2,100,50,20,75,20,75,80,30,NA,NA,NA,NA,NA,NA,NA,NA,80,0,0,90,5,1,1,3,13,2,13,5,5,98,3,5,19,3,12,NA,NA,12,2,5,5,5,3,2,NA,3,2,278,12,1,1,1,1
"27",27,1,5,3,1,3,1,2,1,1,2,1,4,4,1,3,1,2,3,4,1,2,7,6,9,5,4,3,2,1,8,4,5,8,5,5,7,4,3,8,8,4,2,2,6,5,5,5,5,5,5,4,4,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,1,1,1,1,1,2,1,1,2,2,4,2,1,100,50,0,50,50,50,50,0,NA,NA,NA,NA,NA,NA,NA,NA,100,50,50,100,2,4,5,4,4,1,4,1,1,1,1,2,50,1,14,NA,NA,17,1,3,1,5,3,3,NA,1,2,581,12,1,1,1,1
"28",28,1,4,3,13,4,3,2,2,2,2,3,3,3,2,3,3,2,4,2,3,1,5,6,4,2,10,6,1,3,3,8,1,3,8,2,3,8,2,2,8,1,1,1,4,3,2,3,4,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,60,50,40,40,40,40,60,40,NA,NA,NA,NA,NA,NA,NA,NA,50,20,30,0,4,3,3,3,3,2,3,2,1,4,2,3,25,1,3,92,1,16,1,4,3,4,4,3,NA,1,2,11,12,1,1,1,1
"29",29,1,5,4,1,3,1,1,1,2,1,1,4,4,1,2,1,2,4,1,3,2,8,1,10,1,1,1,1,1,8,1,7,10,1,5,10,1,5,10,1,7,2,2,7,2,2,2,3,2,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,1,1,1,1,1,2,1,4,2,2,2,2,5,NA,70,70,20,60,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,0,50,80,0,1,2,5,3,4,1,4,1,1,8,2,2,82,1,3,22,NA,17,1,3,1,3,1,3,NA,1,2,631,12,1,1,1,1
"30",30,1,4,4,13,3,1,1,2,2,2,2,4,4,1,2,1,2,3,4,1,2,8,1,9,1,3,1,1,5,9,1,5,8,1,5,9,1,NA,9,1,5,2,2,6,3,3,5,3,4,3,3,3,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,1,1,4,1,2,4,4,2,2,2,2,5,100,80,30,70,90,70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,90,80,0,90,1,3,4,3,4,1,4,1,1,NA,1,1,28,1,12,NA,NA,15,1,3,1,2,1,3,NA,1,2,278,12,1,1,1,1
"31",31,1,5,4,13,5,4,4,4,4,4,4,2,4,2,4,4,2,1,4,3,2,1,7,1,5,3,5,5,6,1,6,1,1,8,3,1,1,1,1,6,1,1,4,1,1,4,4,3,3,3,1,3,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,1,4,4,4,4,2,4,4,1,4,4,4,4,2,NA,50,30,60,60,90,80,70,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0,50,4,2,2,4,5,4,5,1,2,2,1,5,49,2,3,89,1,15,1,4,4,3,4,3,NA,2,2,278,12,1,5,1,1
"32",32,1,5,4,13,4,3,3,3,3,3,2,2,2,NA,3,3,1,4,3,2,1,4,7,1,7,4,6,3,5,1,6,1,3,6,6,3,3,1,3,6,6,1,1,3,2,2,4,4,4,2,2,1,1,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,1,2,4,2,2,2,3,2,1,4,1,4,4,2,100,100,50,60,30,70,50,70,NA,NA,NA,NA,NA,NA,NA,NA,30,30,20,100,4,4,1,4,NA,2,5,2,2,2,1,4,52,2,3,93,1,16,1,3,3,4,5,2,NA,1,2,278,12,1,5,1,1
"33",33,1,5,3,2,3,3,2,2,2,2,2,2,3,1,3,3,1,4,1,3,2,3,5,2,1,1,5,1,2,1,9,1,2,9,2,1,1,1,3,9,3,1,1,3,3,2,2,4,4,4,1,1,1,1,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,2,2,2,2,2,3,4,1,1,1,4,4,1,100,100,100,50,50,50,80,100,NA,NA,NA,NA,NA,NA,NA,NA,100,50,50,100,5,3,1,4,1,2,1,2,1,1,1,4,43,1,3,91,1,15,2,2,3,4,4,3,NA,1,2,43,12,1,5,1,1
"34",34,1,5,3,10,4,4,4,4,4,4,4,2,2,NA,4,4,1,4,1,2,3,1,3,1,1,1,10,1,8,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,1,1,3,4,2,2,2,2,2,3,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,1,4,4,4,4,4,3,4,4,4,4,4,4,2,100,100,30,30,30,100,40,50,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,4,3,1,5,5,4,5,5,NA,NA,1,5,67,2,3,0,1,15,1,5,5,1,1,3,NA,1,2,278,12,1,5,1,1
"35",35,1,4,3,1,3,4,4,1,4,4,4,4,4,2,4,4,1,4,1,3,2,1,5,1,1,1,10,1,1,1,1,1,1,5,1,1,5,1,1,3,1,4,4,1,2,2,3,4,2,2,3,1,1,3,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,2,2,2,2,2,3,2,4,4,4,4,4,5,100,100,30,30,20,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,20,20,0,100,3,4,1,5,1,4,1,2,2,2,2,5,62,1,3,89,1,15,2,5,1,3,1,3,NA,1,2,278,12,1,5,1,1
"36",36,1,5,4,13,3,3,3,3,3,3,3,3,3,2,4,4,1,4,3,1,2,2,10,1,1,1,1,1,4,9,1,1,4,9,2,5,9,5,3,10,3,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,2,2,2,2,2,3,2,1,4,4,1,1,1,100,100,30,30,30,30,30,60,NA,NA,NA,NA,NA,NA,NA,NA,60,60,20,100,3,3,3,5,1,2,1,2,2,2,1,4,24,2,3,91,1,12,2,5,3,3,4,3,NA,1,2,212,12,1,5,1,1
"37",37,1,5,3,1,4,2,2,3,2,2,2,3,3,1,2,2,1,4,2,3,1,7,5,3,1,1,1,1,3,7,7,1,9,5,9,6,4,7,8,7,4,3,3,6,2,2,3,4,1,1,1,2,3,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,2,2,3,1,4,4,3,4,1,4,4,4,4,5,100,100,30,30,80,20,60,60,NA,NA,NA,NA,NA,NA,NA,NA,80,80,60,90,2,4,2,4,3,1,3,1,1,1,1,2,50,2,3,89,1,15,2,2,1,4,3,3,NA,1,2,278,12,1,5,1,1
"38",38,1,5,3,17,4,2,2,2,2,2,3,3,3,1,3,3,1,1,2,4,3,7,3,1,1,1,1,1,9,7,7,1,4,9,4,8,9,5,8,9,4,1,1,2,2,2,2,2,2,2,3,1,1,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,2,1,1,4,4,3,2,1,4,4,4,4,1,100,100,20,20,20,20,20,50,NA,NA,NA,NA,NA,NA,NA,NA,80,80,20,100,3,3,3,4,1,2,1,2,2,2,1,4,62,1,3,96,1,15,2,3,1,4,3,3,NA,1,2,43,12,1,5,1,1
"39",39,1,4,1,10,4,3,3,2,2,3,3,3,3,1,2,2,1,4,1,2,3,10,10,1,1,1,1,1,10,10,10,1,9,9,5,9,9,6,10,10,7,3,3,4,2,2,3,3,1,1,1,1,1,2,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,1,2,3,3,3,3,3,3,1,3,3,1,3,1,100,100,30,30,20,20,20,100,NA,NA,NA,NA,NA,NA,NA,NA,100,50,20,100,3,4,2,4,1,4,NA,2,NA,NA,1,3,46,1,3,0,1,13,2,4,3,3,4,3,NA,1,2,43,12,1,5,1,1
"40",40,1,4,3,1,3,3,3,2,3,3,2,2,3,2,4,4,2,1,3,2,4,2,8,1,4,1,4,10,4,1,7,1,2,7,1,1,7,1,1,5,1,1,1,3,3,3,2,1,2,3,3,3,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,2,2,2,2,2,3,2,1,1,1,1,1,2,90,60,40,40,20,40,70,20,NA,NA,NA,NA,NA,NA,NA,NA,90,20,10,40,5,1,1,3,8,2,8,2,2,11,1,4,20,3,6,NA,NA,14,2,3,2,4,5,3,NA,4,2,38,13,1,1,1,1
"41",41,1,4,3,1,3,2,3,2,2,3,2,3,3,2,4,2,1,4,2,3,1,1,10,1,1,1,1,8,1,1,10,1,1,10,1,1,10,1,1,10,1,1,1,1,5,5,3,3,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,NA,2,2,2,2,2,4,2,1,1,1,1,1,6,100,80,0,60,0,0,100,70,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,50,4,1,2,3,1,2,1,2,2,2,1,4,56,3,11,NA,NA,12,2,3,5,4,4,3,NA,2,2,211,13,1,1,1,1
"42",42,1,5,2,1,4,2,3,1,4,3,2,1,3,1,3,4,2,4,1,2,3,3,8,4,7,7,9,4,5,2,9,1,1,9,7,1,9,7,5,9,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,4,2,3,2,2,2,3,2,1,1,1,1,1,2,100,70,50,50,50,70,40,30,NA,NA,NA,NA,NA,NA,NA,NA,50,0,0,80,3,3,1,4,3,2,3,2,2,2,1,4,36,2,11,NA,NA,12,2,1,3,6,6,2,NA,2,2,66,13,1,1,1,1
"43",43,1,5,4,17,3,2,2,1,3,4,1,3,2,1,2,1,2,4,3,2,1,8,2,6,7,10,5,1,3,9,7,3,6,2,10,7,2,10,7,2,10,3,3,4,2,5,5,3,2,2,2,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,1,2,1,1,3,1,2,3,4,2,3,4,2,3,NA,30,10,70,50,50,80,60,NA,NA,NA,NA,NA,NA,NA,NA,70,70,0,80,2,5,2,3,3,1,3,3,1,4,1,3,36,2,6,NA,NA,18,1,3,5,6,5,2,NA,1,2,121,13,1,1,1,1
"44",44,1,5,3,17,4,3,3,2,3,3,2,3,4,NA,4,4,2,2,4,1,3,1,9,1,8,1,5,3,3,1,10,1,3,8,1,1,5,1,1,5,1,4,1,1,1,5,5,2,2,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,2,2,2,2,2,1,2,1,1,1,1,1,6,100,0,0,50,10,20,70,80,NA,NA,NA,NA,NA,NA,NA,NA,90,0,0,90,3,2,1,4,1,2,1,2,2,10,1,4,38,2,14,NA,NA,12,2,3,1,4,5,3,NA,2,2,454,13,1,1,1,1
