"","c6","c7","c8","c10","c11","c13","c14","c15","c16","c17","c18","c19","c20","c21","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c34","c35","c36","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","cc6","cc7","cc8","cc9","cc10","cc11","cc12","cc13","cc14","cc15","cc16","cc17","cc19","cc20","cc21","cc22","cc23","cc24","cc25","cc27","cc28","cc29","cc30","cc31","cc32","cc33","cc34","cc35","cc36","cc37","cc38","cc39","cc40","cc41","cc44","cc45","cc46","cc48","cc49","cc50","cc51","cc52","cc53","cc54","cc55","cc56","cc57","cc58","cc59","cc60","cc61","cc62","cc63","cc64","cc65","cc66","cc67","cc68","cc69","cc70","cc71","cc72","cc73","cc74","cc76","ccc6","ccc7","ccc8","ccc9","ccc10","ccc11","ccc12","ccc14","ccc15","ccc16","ccc17","ccc19","ccc20","ccc21","ccc22","ccc23","ccc27","ccc28","ccc29","ccc30","ccc31","ccc32","ccc33","ccc35","ccc36","ccc37","ccc39","ccc41","ccc42","ccc44","ccc45","ccc46","ccc47","ccc48","ccc49","ccc50","ccc55","ccc56","ccc57","ccc59","ccc61","ccc63","ccc65","ccc67","ccc69","ccc70","ccc71","ccc72","ccc73","ccc74","cccc6","cccc8","cccc10","cccc12","cccc14","cccc16","cccc18","cccc20","cccc22","cccc24","cccc26","cccc28","cccc41","sephashk"
"1136",5,NA,1,1,1,3,5,6,2,2,1,1,3,30,2,2,1,3,4,3,3,1,1,4,3,2,97,NA,2,3,2,2,2,7,6,1,2,2,1,4,3,3,3,1,10,5,1,4,1,1,1,10,10,1,2,4,1,3,2,3,2,2,2,2,1,2,2,3,2,2,1,2,2,3,2,2,2,2,2,2,1,2,1,3,3,1,1,1,1,1,2,1,1,3,3,5,2,2,1,4,1,2,2,2,2,2,2,2,1,2,2,2,8,8,8,2,2,2,2,2,2,2,2,2,1,5,3,3,2,3,3,4,2,1,2,5,1,1,3,4,1,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,6,1,3,1,5,2,1,4,3,2,1,36,8,NA,12,4.5,6,2,3,1,4,3,2,6,NA,NA,NA,1,6,NA,2,3,NA,22,18,1,1
"1137",2,2,1,2,2,7,5,8,2,3,5,1,1,70,1,3,1,2,2,2,2,2,2,2,3,1,60,1,3,2,1,2,1,2,1,2,1,3,4,1,2,4,4,8,5,4,7,6,5,2,4,8,5,9,5,2,4,2,5,2,1,5,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,2,3,3,3,3,2,3,1,1,1,4,5,2,2,4,3,4,1,1,1,1,1,1,1,3,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,2,5,3,2,3,4,3,4,1,50,1,4,1,1,3,2,1,1,2,NA,2,NA,NA,NA,NA,2,2,1,2,1,6,1,4,1,2,1,2,3,4,1,1,30,9,NA,18,4,3,1,3,1,2,3,3,2,3,NA,NA,2,3,NA,6,8,NA,22,18,1,2
"1138",2,2,3,2,2,8,6,8,2,4,7,1,1,60,1,4,1,2,2,2,3,2,3,1,2,1,50,1,3,3,2,2,1,2,1,3,2,3,4,1,2,7,4,8,5,3,7,2,5,2,5,9,3,8,5,2,4,2,4,5,1,5,4,2,1,1,4,3,4,2,1,1,4,3,1,1,1,1,1,1,1,2,3,1,2,1,3,3,3,2,1,1,1,2,5,5,2,2,2,3,4,3,3,1,1,1,3,1,3,1,1,1,8,7,8,1,1,1,1,1,1,1,1,1,2,5,1,4,2,4,3,3,1,97,1,4,1,1,3,1,3,1,3,NA,1,NA,NA,NA,NA,2,1,2,2,3,6,1,2,1,3,1,2,3,4,1,NA,32,10,NA,16,4,3,1,3,1,4,2,2,2,3,NA,NA,3,2,NA,6,4,5,22,18,1,2
"1139",4,3,1,2,1,4,7,6,3,2,1,1,1,60,2,1,1,3,3,3,3,2,3,3,3,1,30,1,1,3,1,1,2,6,6,1,1,4,3,1,2,1,2,7,8,5,1,8,1,1,1,10,10,8,4,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,3,3,1,1,2,2,2,2,1,1,1,5,5,2,2,1,4,2,2,2,2,2,2,2,2,1,1,1,2,7,7,7,1,1,2,1,3,1,1,1,1,2,5,4,4,4,1,2,2,2,20,2,2,1,1,3,4,3,1,1,1,1,NA,NA,NA,NA,1,1,2,9,8,5,2,4,1,3,2,1,3,4,2,2,39,2,63,12,4,5,3,2,1,2,3,3,1,4,7,NA,1,4,7,3,10,9,22,18,1,1
"1140",2,2,9,2,3,5,3,7,2,2,7,1,1,50,1,2,1,2,2,2,2,2,3,2,2,2,50,1,4,3,2,3,1,1,1,2,1,3,4,1,2,4,3,8,2,1,10,2,5,1,5,9,1,9,7,2,4,2,4,5,3,1,3,1,1,2,4,4,3,1,1,2,4,4,1,1,1,1,1,1,1,2,1,1,2,1,3,3,3,2,3,1,1,1,5,5,2,1,1,3,4,3,2,1,1,3,3,3,3,1,1,3,7,7,7,1,1,1,1,1,1,1,1,1,2,2,4,4,3,4,5,4,1,50,1,4,1,1,3,2,2,1,3,NA,2,NA,NA,NA,NA,3,2,1,3,3,6,1,4,1,1,1,2,3,4,3,2,37,9,NA,16,5,5,1,3,1,2,2,2,2,3,NA,NA,3,2,NA,6,10,8,22,18,1,2
"1141",2,2,9,2,2,7,5,8,1,4,7,1,1,50,1,3,1,2,2,3,2,2,3,2,2,1,40,1,4,2,2,1,1,2,1,2,1,3,4,1,2,1,3,10,1,1,8,1,7,1,6,10,1,10,7,3,4,2,5,2,1,5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,3,5,2,1,1,3,4,2,1,1,1,1,1,1,2,1,1,1,8,6,9,1,1,1,1,1,1,1,1,1,2,5,1,3,2,4,2,4,1,40,1,4,1,2,1,1,1,3,2,NA,2,NA,NA,NA,NA,2,2,1,3,1,2,3,2,3,1,1,2,3,4,1,2,42,6,NA,19,4,5,1,3,1,3,2,2,2,3,NA,NA,2,3,NA,1,8,5,22,18,1,NA
"1142",3,4,2,3,1,5,6,6,NA,3,2,4,3,50,NA,3,1,3,4,4,3,1,1,3,3,3,50,2,2,3,2,1,NA,4,4,1,NA,4,2,3,1,4,2,1,10,10,1,8,1,1,1,6,NA,7,3,1,2,3,2,2,2,2,1,2,1,1,2,4,1,2,1,1,2,4,2,2,2,2,2,2,3,1,1,3,3,1,1,1,1,1,3,1,1,1,3,5,2,2,1,3,1,2,2,2,1,2,4,4,3,3,3,4,8,8,8,2,2,2,2,2,2,2,2,2,1,5,1,4,2,3,1,4,2,1,NA,4,1,1,1,3,1,2,1,1,1,NA,NA,NA,NA,1,3,3,1,2,6,1,2,2,5,2,1,4,3,2,2,43,2,62,12,3.5,6,3,3,2,NA,3,3,18,NA,NA,NA,1,NA,NA,3,13,10,22,18,1,1
"1143",2,2,1,2,2,8,7,8,2,3,5,6,3,60,1,3,1,2,1,2,2,2,1,2,2,4,50,1,2,2,1,2,1,2,2,1,1,4,3,1,2,4,4,9,5,5,5,5,5,2,2,9,4,8,5,4,3,3,5,2,2,5,2,2,1,3,1,4,2,2,1,3,1,4,1,1,1,1,1,1,3,2,1,1,3,3,1,1,1,3,3,1,1,2,4,5,2,2,1,3,2,3,3,1,1,1,4,1,3,1,1,4,8,8,8,1,1,1,1,1,1,1,1,1,2,5,2,3,3,3,5,4,1,97,1,4,1,1,3,1,3,3,2,NA,2,NA,NA,NA,NA,2,2,1,2,1,2,1,3,4,2,1,2,4,3,1,2,67,3,36,15,4,2,2,4,2,NA,2,3,18,NA,NA,NA,2,3,NA,1,6,5,22,18,1,2
"1144",5,4,1,1,6,1,5,1,4,1,1,7,7,1,2,1,1,4,4,4,4,1,1,4,4,4,25,2,1,4,2,1,2,7,7,1,2,2,1,4,3,1,1,2,8,10,1,10,1,1,1,3,8,1,1,1,1,2,1,3,1,1,1,1,1,1,4,4,1,1,1,1,4,4,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,3,5,2,1,1,3,1,2,2,2,2,2,2,2,1,2,1,2,8,7,9,2,2,2,2,2,2,2,2,2,2,3,2,4,3,1,2,4,2,20,2,1,1,1,1,4,3,1,6,NA,1,NA,NA,NA,NA,6,1,2,5,15,6,2,2,1,5,2,1,3,4,2,1,35,8,NA,10,3,4,1,3,2,NA,3,3,6,NA,NA,NA,6,4,1,3,2,10,21,12,1,1
"1145",1,2,99,2,2,8,6,8,2,4,7,1,1,97,1,3,1,1,1,2,2,2,3,2,2,1,97,1,3,2,1,2,1,1,1,4,1,4,3,1,2,3,3,7,2,1,8,2,9,1,7,7,3,7,6,NA,3,3,3,2,2,4,3,4,2,3,4,4,3,3,1,4,4,2,1,1,1,1,1,1,3,NA,1,1,2,3,3,3,3,2,1,1,1,2,5,5,2,2,1,4,4,1,2,3,1,1,1,1,3,1,1,1,8,8,9,3,3,4,3,NA,1,1,1,1,2,4,2,2,2,3,1,3,1,50,1,4,3,3,1,2,2,1,10,NA,2,NA,NA,NA,NA,10,2,1,17,17,6,1,2,2,1,1,2,4,3,1,1,22,6,NA,12,6,4,1,4,NA,NA,3,NA,3,10,NA,NA,10,3,2,6,15,NA,22,18,1,NA
