"","c6","c7","c8","c10","c11","c13","c14","c15","c16","c17","c18","c19","c20","c21","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c34","c35","c36","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","cc6","cc7","cc8","cc9","cc10","cc11","cc12","cc13","cc14","cc15","cc16","cc17","cc19","cc20","cc21","cc22","cc23","cc24","cc25","cc27","cc28","cc29","cc30","cc31","cc32","cc33","cc34","cc35","cc36","cc37","cc38","cc39","cc40","cc41","cc44","cc45","cc46","cc48","cc49","cc50","cc51","cc52","cc53","cc54","cc55","cc56","cc57","cc58","cc59","cc60","cc61","cc62","cc63","cc64","cc65","cc66","cc67","cc68","cc69","cc70","cc71","cc72","cc73","cc74","cc76","ccc6","ccc7","ccc8","ccc9","ccc10","ccc11","ccc12","ccc14","ccc15","ccc16","ccc17","ccc19","ccc20","ccc21","ccc22","ccc23","ccc27","ccc28","ccc29","ccc30","ccc31","ccc32","ccc33","ccc35","ccc36","ccc37","ccc39","ccc41","ccc42","ccc44","ccc45","ccc46","ccc47","ccc48","ccc49","ccc50","ccc55","ccc56","ccc57","ccc59","ccc61","ccc63","ccc65","ccc67","ccc69","ccc70","ccc71","ccc72","ccc73","ccc74","cccc6","cccc8","cccc10","cccc12","cccc14","cccc16","cccc18","cccc20","cccc22","cccc24","cccc26","cccc28","cccc41","sephashk"
"1",3,3,1,2,2,6,4,8,2,3,6,4,4,50,1,2,1,3,2,2,3,2,2,2,2,2,50,NA,3,4,1,2,1,4,4,1,1,1,3,4,2,4,4,8,1,NA,4,3,1,1,1,8,1,6,5,1,4,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,5,5,2,2,3,2,1,1,1,1,1,1,1,1,2,1,1,1,9,5,9,1,1,1,1,1,1,1,1,1,1,4,2,3,4,4,3,4,NA,NA,NA,4,1,1,1,1,1,3,2,5,2,NA,NA,NA,NA,2,2,1,2,1,6,1,4,2,2,1,2,3,4,1,2,38,4,73,11,3,4,3,3,1,1,3,3,2,3,9,NA,1,3,9,18,NA,NA,NA,17,1,2
"2",3,2,1,2,20,5,5,8,2,2,2,6,4,80,1,2,1,2,3,3,3,2,2,2,2,3,1,2,NA,4,2,1,2,7,7,2,1,1,4,3,2,3,2,5,5,NA,1,8,1,1,1,8,7,7,4,3,1,3,2,3,2,2,1,1,1,1,3,3,1,1,1,1,4,4,2,1,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,8,9,NA,2,2,2,2,2,2,2,2,2,1,3,3,2,2,1,3,4,2,1,2,2,1,1,1,4,1,1,19,5,5,NA,NA,NA,NA,19,1,2,1,2,1,NA,2,1,4,2,1,4,3,3,2,43,7,NA,8,5,6,3,3,1,2,3,2,1,4,NA,NA,1,4,NA,18,NA,NA,26,17,1,1
"3",2,3,3,2,1,5,2,5,2,2,5,2,2,80,NA,3,1,2,2,2,2,1,2,NA,3,3,70,NA,3,2,NA,2,NA,4,NA,3,NA,3,1,4,2,4,3,4,6,5,4,3,3,2,2,7,7,6,4,NA,3,1,3,3,2,2,3,3,2,2,4,4,3,3,2,2,4,4,2,2,2,2,3,3,2,1,2,1,2,2,3,2,2,2,1,3,1,2,3,4,2,1,3,2,4,2,2,3,2,2,2,3,3,2,1,2,5,5,NA,3,3,2,3,2,1,3,3,3,1,5,2,3,3,3,1,2,1,40,NA,3,1,1,1,2,1,1,19,1,5,NA,NA,NA,NA,19,3,3,3,3,5,1,1,1,3,NA,NA,NA,NA,1,1,42,10,NA,15,4,5,1,3,1,2,3,3,19,NA,NA,NA,19,NA,NA,NA,NA,NA,26,17,1,2
"4",2,2,2,2,2,6,4,7,3,3,4,1,3,75,2,3,1,2,2,2,3,2,3,3,3,2,50,1,3,2,2,2,1,1,1,1,2,1,2,3,4,4,4,7,7,5,5,6,4,1,4,8,6,7,4,2,4,3,4,3,2,2,4,4,1,1,4,4,4,1,1,4,4,4,2,2,2,2,1,2,2,2,1,3,2,1,3,1,1,2,1,1,1,1,5,5,2,2,1,2,4,2,2,2,2,2,2,2,4,1,3,2,6,4,8,2,2,2,2,2,1,2,2,2,2,5,3,2,4,1,3,4,1,1,2,4,1,1,2,2,2,1,1,1,1,NA,NA,NA,NA,1,1,2,15,2,6,1,3,1,3,1,2,3,4,2,1,36,7,NA,12,5,3,1,2,1,1,3,3,19,NA,NA,NA,19,NA,NA,NA,NA,NA,26,17,1,1
"5",2,2,29,2,3,7,3,8,2,4,7,1,6,40,1,1,1,2,1,2,1,2,3,2,2,1,40,1,4,1,1,2,1,1,1,2,1,3,1,4,2,7,3,8,3,1,8,4,4,4,4,8,1,9,6,3,4,1,1,4,1,1,4,2,1,1,4,4,3,2,1,1,4,4,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,3,1,1,2,1,5,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,7,5,8,1,1,1,1,1,1,1,1,1,2,4,2,3,1,4,3,4,NA,1,1,4,2,2,1,1,1,1,2,5,2,NA,NA,NA,NA,2,2,1,2,16,6,3,2,1,2,1,2,4,3,1,2,25,6,NA,15,5,2,2,4,1,4,1,4,2,3,NA,NA,1,3,18,18,18,18,26,17,1,NA
"6",5,4,1,1,6,1,4,5,2,3,7,7,7,97,1,2,1,3,4,4,4,1,1,4,4,4,50,NA,2,4,2,1,1,4,1,1,2,2,1,3,4,4,2,4,6,7,1,3,1,1,1,4,5,4,4,3,1,1,4,2,2,4,1,2,1,1,3,4,NA,NA,NA,NA,NA,NA,2,1,2,2,1,2,NA,2,3,1,2,3,1,3,3,1,2,1,1,1,3,3,2,3,1,3,1,2,2,2,1,1,2,2,3,1,1,3,2,9,6,1,1,1,1,2,1,1,1,1,1,4,2,2,2,1,4,4,2,1,2,2,1,1,1,4,2,1,1,1,1,NA,NA,NA,NA,1,1,2,17,17,5,1,2,1,4,2,1,3,4,2,1,30,7,NA,11,3,3,1,2,2,NA,3,5,1,6,NA,NA,1,6,18,18,18,18,26,17,1,1
"7",3,4,1,1,6,2,7,NA,NA,4,1,7,7,25,2,2,3,4,4,4,4,1,1,2,3,4,40,1,2,4,2,3,NA,6,6,1,2,2,4,1,3,3,2,1,5,7,1,7,1,1,1,3,7,1,1,2,1,2,1,2,1,1,1,1,1,1,4,4,1,1,1,1,4,4,2,2,2,2,2,2,3,2,1,NA,1,NA,1,1,3,1,2,1,1,2,3,4,2,3,1,2,1,2,2,2,2,2,2,2,NA,2,2,4,8,8,9,2,2,2,2,2,1,4,2,2,2,1,4,3,2,3,6,4,2,1,2,4,1,1,2,4,NA,1,6,5,1,NA,NA,NA,NA,6,1,2,13,17,6,1,2,1,5,2,4,NA,NA,1,1,30,5,NA,14,3,4,3,1,2,NA,3,3,1,6,NA,NA,6,4,1,18,18,18,26,17,1,2
"8",5,3,1,1,1,1,8,NA,3,2,1,5,6,50,1,2,1,4,4,4,4,2,1,3,4,3,40,2,4,4,2,1,1,7,7,1,2,1,2,3,4,4,1,1,10,1,1,9,1,1,1,1,10,1,2,1,1,2,2,2,3,2,2,1,1,2,1,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,5,5,1,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,8,9,9,2,2,2,2,2,2,2,2,2,1,3,4,4,4,1,3,4,1,1,1,4,1,1,1,4,1,1,4,1,1,NA,NA,NA,NA,4,1,2,16,17,6,1,3,1,4,2,1,4,3,2,2,23,7,NA,12,3,2,3,2,1,3,3,5,1,4,NA,NA,3,1,18,18,18,18,26,17,1,1
"9",5,3,1,1,1,6,6,9,1,3,7,1,4,70,1,2,1,4,4,4,4,1,1,2,4,3,1,2,4,4,1,1,1,4,4,1,2,1,2,3,4,4,4,4,8,4,1,5,1,1,1,8,8,3,3,2,4,2,1,2,1,1,1,2,1,1,4,4,2,1,2,3,4,4,2,2,2,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,3,9,NA,3,2,2,3,2,2,2,2,2,1,5,4,4,4,4,3,4,2,1,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,2,1,1,3,3,4,1,5,2,1,3,4,2,1,43,7,NA,18,3,6,2,3,2,NA,4,5,1,6,8,NA,1,6,8,18,NA,NA,26,17,1,1
"10",5,4,7,1,1,1,5,8,2,1,1,1,7,70,NA,3,1,2,4,4,4,1,1,3,4,4,1,2,4,4,2,1,1,7,7,1,2,1,2,3,4,4,4,1,10,10,1,10,1,1,1,5,10,1,2,1,1,2,1,1,1,1,1,3,1,1,3,4,1,1,1,1,2,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,6,NA,2,2,2,2,2,2,2,2,2,1,3,3,3,NA,NA,3,4,2,1,2,5,1,1,1,4,1,2,1,1,1,NA,NA,NA,NA,1,1,2,4,8,6,4,1,1,5,2,1,3,4,2,1,44,7,NA,12,3,5,1,2,1,1,4,5,1,4,6,8,1,6,4,18,NA,NA,26,17,1,1
"11",3,4,9,1,1,1,1,NA,3,2,5,4,7,50,2,2,1,4,4,4,4,1,2,3,4,3,50,2,2,4,2,2,1,2,2,1,2,1,4,2,3,2,4,1,7,8,1,5,1,1,1,9,9,4,3,2,2,3,2,1,1,1,1,2,1,1,4,4,1,3,1,1,1,3,2,2,2,2,2,2,3,2,1,1,3,1,1,2,1,2,2,1,1,1,3,3,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,3,9,9,2,2,2,2,2,2,2,2,2,1,5,3,4,4,4,3,4,2,40,2,4,1,1,3,4,2,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,6,NA,4,1,4,1,2,3,4,2,1,52,1,62,12,4,6,2,3,2,NA,4,5,1,NA,NA,NA,1,18,18,18,18,18,26,17,1,1
"12",3,2,1,2,2,7,NA,7,2,2,1,3,1,50,1,1,2,2,3,3,2,2,2,2,NA,3,1,2,2,2,1,2,1,4,4,1,2,1,3,4,2,4,3,6,NA,5,3,7,3,5,5,8,7,5,4,1,1,2,1,2,3,3,1,2,2,3,3,3,1,2,2,3,2,3,2,2,2,2,2,2,2,2,1,1,3,1,1,1,3,2,3,1,1,NA,3,5,2,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,8,NA,8,2,2,4,4,4,3,3,4,4,1,5,2,3,2,2,4,4,2,50,2,3,1,1,NA,3,NA,1,4,1,5,NA,NA,NA,NA,4,2,1,17,17,6,1,5,1,4,2,1,4,3,3,1,19,6,NA,12,5,7,2,3,2,NA,3,3,1,4,7,NA,4,1,7,18,NA,NA,26,17,1,NA
"13",2,2,3,2,2,5,8,8,2,2,4,3,3,50,NA,2,1,3,2,3,NA,2,2,3,3,2,1,1,3,3,1,2,NA,4,1,2,1,1,2,3,4,3,2,10,3,NA,5,1,1,1,1,10,5,9,4,3,3,1,3,2,1,3,1,1,1,1,2,3,1,2,2,3,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,5,5,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,7,NA,1,1,1,1,1,1,1,1,1,2,3,3,2,4,4,3,4,2,1,2,6,2,2,1,2,1,3,2,5,2,NA,NA,NA,NA,2,2,1,2,1,5,1,3,3,2,2,1,3,4,1,2,74,3,80,18,3,1,3,3,2,NA,3,5,2,3,NA,NA,2,3,NA,18,NA,NA,24,17,1,2
"14",5,4,1,1,4,4,6,6,4,2,7,1,3,40,1,3,1,3,3,3,3,1,3,4,4,4,40,1,1,4,2,4,2,7,4,1,2,2,1,3,4,4,4,4,7,6,1,7,1,1,1,5,7,3,1,1,1,2,3,4,1,2,2,2,2,1,4,4,2,2,2,1,4,4,NA,NA,NA,NA,2,2,1,NA,1,3,1,2,3,3,2,1,2,1,1,2,5,5,2,2,1,3,1,2,2,3,4,2,4,4,1,3,3,4,8,8,8,4,4,4,4,4,4,4,3,4,2,5,4,4,3,3,5,4,2,1,2,1,2,1,3,4,3,1,4,NA,1,NA,NA,NA,NA,4,1,2,17,17,6,1,2,1,5,2,1,3,4,1,1,22,6,NA,12,6,7,1,1,2,NA,3,3,1,4,6,NA,4,6,1,3,10,11,26,13,1,NA
"15",1,2,1,2,2,8,8,NA,3,1,4,1,3,30,1,2,1,3,2,2,3,2,3,3,4,2,60,1,4,4,2,1,1,2,8,NA,NA,1,4,3,2,4,4,10,9,NA,6,2,1,1,1,10,8,9,5,1,1,1,3,3,2,3,3,3,1,1,4,4,2,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,3,2,1,1,3,5,5,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,5,2,4,4,4,3,4,NA,7,2,4,1,1,2,4,2,1,21,5,2,NA,NA,NA,NA,21,2,1,2,1,6,1,5,1,3,2,1,4,3,2,1,43,7,55,12,4,5,1,3,1,1,1,3,1,2,NA,NA,2,1,18,18,18,18,26,17,1,1
"16",2,2,1,3,19,3,5,5,2,2,3,1,4,30,1,2,2,2,2,2,2,2,2,2,3,2,30,1,3,4,1,2,1,4,4,2,1,1,3,2,4,4,4,6,4,3,1,2,1,1,1,9,6,6,4,1,4,2,2,3,2,3,1,1,2,1,2,2,1,1,2,2,4,4,1,1,2,2,1,2,2,2,1,1,2,1,3,1,1,1,1,1,1,2,2,3,2,3,3,3,1,3,2,2,3,3,3,3,1,2,1,3,6,5,7,2,2,2,2,2,2,2,2,2,1,4,3,3,4,4,5,4,2,1,2,2,1,1,NA,1,1,1,18,1,5,NA,NA,NA,NA,19,2,1,1,2,6,3,4,1,3,1,2,3,4,2,1,40,7,NA,12,4,5,3,3,1,2,3,3,1,2,NA,NA,1,2,18,18,18,18,26,17,1,1
"17",5,4,1,1,4,2,5,5,2,2,1,7,5,50,1,1,1,4,4,4,4,1,1,4,4,4,30,2,3,3,2,1,2,5,5,1,2,1,4,3,2,1,2,1,9,10,1,10,1,1,1,1,8,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,1,3,1,1,3,2,1,2,1,1,1,5,5,2,3,3,4,2,2,2,2,2,2,2,2,1,2,2,2,7,6,8,2,2,2,2,2,2,2,2,2,2,5,4,4,4,4,3,4,2,30,2,3,1,1,3,4,1,1,19,NA,1,NA,NA,NA,NA,19,1,2,16,5,6,1,4,1,4,2,1,4,3,1,2,41,10,NA,12,4,6,3,1,1,2,3,3,1,4,NA,NA,1,4,NA,3,10,12,26,13,1,2
"18",5,4,1,3,19,4,5,5,3,2,1,5,1,97,1,3,1,3,2,2,3,2,1,3,3,2,1,1,2,4,NA,2,NA,1,1,1,NA,4,3,1,2,4,4,5,5,2,1,10,1,1,1,10,1,5,4,2,2,NA,3,3,2,5,2,1,1,1,4,4,2,1,1,1,4,4,NA,NA,NA,NA,4,4,NA,2,1,1,3,3,3,2,2,1,3,1,1,2,4,5,1,4,5,4,1,3,1,4,4,4,1,1,NA,1,1,1,8,8,9,1,1,1,1,1,1,1,1,1,2,5,4,4,3,3,5,3,2,1,1,1,1,1,3,3,3,1,19,5,5,NA,NA,NA,NA,19,3,3,1,2,6,1,4,1,7,2,1,4,3,1,2,40,9,NA,12,4,6,1,2,1,2,3,3,19,NA,NA,NA,NA,NA,NA,3,NA,NA,26,13,1,2
"19",5,4,1,1,1,1,5,7,3,4,1,7,1,50,2,1,1,4,3,3,3,1,1,4,4,4,40,2,1,4,2,1,1,7,1,1,1,1,4,3,2,1,3,5,7,7,1,8,1,1,1,8,8,6,2,2,1,2,1,1,1,1,1,1,1,1,2,4,1,1,1,1,2,4,2,2,2,2,2,2,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,2,2,4,4,2,2,2,1,2,2,2,2,3,3,3,2,7,6,8,2,2,2,2,2,1,2,2,2,2,5,3,4,1,4,3,4,2,40,2,1,1,1,3,4,3,1,4,NA,1,NA,NA,NA,NA,4,1,2,7,5,6,1,5,1,4,2,1,3,4,2,2,39,8,NA,15,6,7,3,1,1,2,3,3,1,4,NA,NA,4,1,6,10,3,13,26,13,1,1
"20",3,3,1,1,4,4,6,6,2,4,4,1,3,40,NA,3,1,3,2,2,3,1,2,4,4,4,40,1,1,4,2,3,2,7,4,2,2,1,3,4,2,4,4,5,7,7,1,7,1,1,1,6,6,4,3,1,3,2,3,4,1,2,2,2,2,1,4,4,2,2,2,1,4,4,NA,NA,NA,NA,2,2,1,2,3,3,3,2,3,2,3,1,2,1,1,3,5,5,2,2,1,3,1,2,2,3,4,2,4,4,3,3,3,4,8,8,8,2,3,4,4,4,4,1,2,4,1,5,3,4,3,3,5,4,1,1,1,1,1,1,2,2,3,1,4,4,1,NA,NA,NA,NA,4,1,2,7,5,6,1,4,2,4,2,1,4,3,1,1,46,9,NA,14,5,7,1,1,1,3,3,3,18,NA,NA,NA,4,NA,NA,3,12,13,26,13,1,2
"21",2,2,18,2,2,7,5,8,4,4,5,1,1,65,1,4,1,2,2,2,2,2,3,2,2,1,1,1,2,3,1,2,1,4,1,2,1,3,4,1,2,7,4,7,3,2,8,2,1,1,1,8,2,8,5,3,4,2,3,3,1,1,1,1,1,1,4,4,1,1,1,1,4,4,1,1,1,1,1,1,1,2,1,1,2,3,3,3,2,2,3,1,1,1,5,5,2,2,1,3,4,3,1,1,1,3,1,1,3,1,1,1,8,7,8,1,1,1,1,1,1,1,1,1,2,5,1,3,2,4,3,4,1,55,1,4,1,1,3,1,3,1,2,NA,2,NA,NA,NA,NA,2,2,1,16,1,5,1,4,1,2,1,2,3,4,1,2,35,3,73,16,5,4,2,3,1,3,3,3,2,3,NA,NA,2,3,NA,6,8,3,26,13,1,2
"22",2,2,18,2,2,7,5,8,2,4,7,1,1,55,1,2,1,2,2,2,2,2,3,2,2,2,30,1,4,3,1,2,2,4,1,1,1,3,4,1,2,7,2,10,3,6,7,2,1,1,1,9,4,8,5,3,4,2,2,2,1,1,1,1,1,1,4,4,1,1,1,1,4,4,1,1,1,1,1,1,1,2,1,3,2,3,3,3,2,2,3,1,1,1,5,5,2,2,1,3,4,3,1,1,1,3,3,1,3,1,1,1,7,7,7,1,1,1,1,1,1,1,1,1,2,2,1,3,3,4,4,4,1,55,1,4,1,1,3,1,3,1,2,NA,2,NA,NA,NA,NA,2,2,1,2,1,2,1,4,1,2,1,2,3,4,1,2,30,3,73,15,4,4,1,3,1,3,3,3,2,3,NA,NA,2,3,NA,6,5,8,26,13,1,2
"23",4,4,1,1,1,4,5,6,2,2,4,2,3,40,1,3,1,3,3,3,2,1,2,3,3,1,40,1,2,3,2,1,1,5,5,2,1,4,1,3,2,4,4,7,8,6,7,4,1,1,1,8,8,7,3,2,2,2,3,4,2,4,2,2,1,3,3,4,2,2,1,3,3,4,2,2,2,2,2,2,1,2,1,3,2,1,1,3,3,3,2,1,1,1,2,5,2,3,1,3,4,3,2,3,2,2,4,2,3,1,3,4,7,7,8,3,3,3,3,4,1,1,3,3,2,5,2,3,2,3,3,4,2,1,1,2,1,1,1,3,1,1,1,1,1,NA,NA,NA,NA,1,1,2,4,2,6,1,4,1,4,1,2,3,4,2,2,29,8,NA,12,5,4,3,3,1,2,3,3,18,NA,NA,NA,1,NA,NA,5,8,4,26,13,1,1
"24",3,2,1,3,15,7,8,7,2,3,4,4,1,50,1,2,1,2,2,2,2,2,2,2,3,2,60,1,2,2,1,3,1,1,1,4,1,4,1,2,3,6,2,5,7,3,8,5,2,1,1,6,4,5,4,2,2,3,4,4,4,4,3,3,4,3,2,3,3,3,3,2,2,3,1,1,2,1,3,3,3,2,1,1,2,1,1,1,3,3,3,1,1,2,3,5,2,1,3,3,3,3,3,3,3,1,2,3,3,3,3,3,6,7,7,3,3,3,2,2,3,3,3,2,1,5,3,3,3,2,4,3,1,70,1,1,1,1,3,2,3,1,15,NA,6,NA,NA,NA,NA,15,1,2,4,18,6,1,4,1,4,2,1,3,4,2,2,40,8,NA,16,3,3,3,3,1,1,3,4,1,NA,NA,NA,21,NA,NA,2,NA,NA,26,10,1,1
"25",2,4,1,1,1,3,6,6,3,4,1,4,4,1,2,3,1,4,3,3,4,2,1,4,4,3,1,1,2,4,2,2,2,1,1,1,1,1,3,4,2,3,4,3,8,7,3,6,1,1,2,7,9,7,1,2,1,2,1,1,1,1,1,2,1,1,4,3,1,2,1,1,4,3,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,2,2,1,1,3,5,5,1,2,2,4,1,2,2,2,2,2,2,2,3,2,2,2,6,6,6,2,2,2,2,2,2,2,2,2,2,5,3,4,4,3,4,4,2,1,2,3,1,1,3,4,2,1,1,1,1,NA,NA,NA,NA,1,1,2,1,2,5,1,4,1,5,2,1,4,3,2,2,77,2,33,NA,2.5,1,3,2,2,NA,3,5,1,NA,NA,NA,1,2,NA,11,12,13,26,10,1,1
"26",4,3,1,2,2,7,5,8,1,4,7,4,1,60,1,2,1,2,1,2,2,2,3,3,3,2,60,1,3,2,1,2,1,4,4,3,1,4,1,3,2,4,4,9,4,4,8,4,1,1,6,10,5,9,7,2,4,2,1,3,2,2,2,2,1,1,3,4,2,2,1,1,3,4,1,1,1,1,1,1,3,2,1,3,2,1,1,1,3,3,2,1,1,3,5,5,1,2,1,3,1,1,1,1,1,1,1,1,3,1,1,1,7,7,9,1,1,1,1,1,1,1,1,1,2,1,4,NA,4,4,5,4,1,40,1,4,1,1,1,2,2,1,3,NA,2,NA,NA,NA,NA,2,1,2,NA,NA,5,1,5,NA,1,NA,NA,NA,NA,1,2,23,6,NA,12,2,2,3,4,1,1,NA,NA,NA,NA,NA,NA,2,3,NA,11,12,13,26,10,1,NA
"27",5,4,3,1,1,1,5,5,4,3,1,4,3,1,2,3,1,4,4,3,4,2,1,4,4,3,50,2,2,3,2,1,2,4,4,1,1,1,4,3,2,3,4,2,9,5,2,6,1,1,1,4,9,3,1,2,1,3,1,3,1,1,1,2,1,1,4,3,1,2,1,1,4,3,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,2,1,1,4,4,5,2,3,1,4,1,2,2,2,2,2,2,2,3,2,2,2,7,8,8,2,2,2,2,2,2,2,2,2,1,3,4,4,4,3,4,4,2,1,2,3,1,1,1,4,1,1,1,2,1,NA,NA,NA,NA,1,1,2,1,2,6,2,4,1,5,2,1,3,4,2,2,33,6,NA,12,2.5,6,NA,3,1,1,3,5,1,NA,NA,NA,1,8,NA,11,12,13,26,10,1,NA
"28",2,2,4,2,2,7,8,NA,2,3,7,4,3,50,1,2,1,2,2,1,2,1,2,2,2,1,80,1,2,2,1,2,1,4,8,3,1,4,1,2,3,4,3,10,1,2,9,2,2,2,2,10,2,10,6,3,3,2,4,4,3,4,3,3,2,2,3,2,3,3,2,2,3,3,1,1,1,1,1,1,3,2,1,1,2,1,1,1,2,1,1,1,1,4,4,5,2,1,1,3,3,1,1,3,3,1,1,1,3,1,1,1,8,8,9,1,1,1,1,1,1,1,1,1,NA,5,2,2,2,3,3,4,1,70,1,2,1,1,3,3,3,1,2,NA,2,NA,NA,NA,NA,2,2,1,3,3,6,2,4,1,2,2,1,3,4,1,1,40,3,61,20,5,5,1,4,1,1,2,2,2,NA,NA,NA,2,NA,NA,1,12,NA,26,10,1,2
"29",5,4,1,3,1,1,1,1,3,4,1,3,1,30,2,3,2,4,4,4,4,1,1,4,4,4,30,2,1,3,2,2,2,4,4,1,2,1,2,3,4,1,3,1,9,5,2,3,1,1,1,5,6,2,1,2,1,3,5,4,4,4,NA,NA,NA,NA,NA,NA,3,3,2,3,3,3,2,2,2,2,4,4,3,2,1,1,3,1,1,3,3,1,3,2,1,3,4,4,2,1,2,4,3,3,3,3,3,1,2,2,2,2,3,3,2,5,5,2,2,2,4,4,2,4,2,4,1,2,4,4,4,2,4,3,2,30,2,3,1,1,3,2,3,1,1,1,1,NA,NA,NA,NA,1,1,2,2,1,4,1,4,1,3,2,1,3,4,3,1,73,6,NA,22,2,2,1,4,1,1,3,4,1,NA,NA,NA,1,NA,NA,2,NA,NA,26,10,1,NA
"30",2,2,3,2,2,7,7,8,2,3,7,4,4,80,1,2,1,2,2,2,2,2,2,1,2,1,75,1,2,2,1,2,1,1,1,4,1,2,4,1,3,4,4,10,1,4,3,1,1,1,1,10,1,10,7,3,2,3,4,4,3,4,3,3,4,4,4,4,2,2,2,2,3,3,1,1,1,1,1,1,3,2,1,1,3,1,1,1,3,3,3,1,1,3,3,5,2,1,2,3,3,1,1,1,1,1,1,1,3,1,1,1,8,8,8,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,2,3,1,70,1,2,1,1,3,2,1,4,2,NA,2,NA,NA,NA,NA,3,2,1,16,3,6,1,3,1,1,3,2,1,4,1,1,42,5,59,18,4,2,2,4,1,1,2,2,2,3,NA,NA,2,3,NA,1,NA,NA,26,10,1,2
"31",4,3,1,2,2,7,4,9,2,4,7,4,1,75,1,2,1,2,1,2,3,2,2,2,2,1,40,1,3,2,1,2,NA,4,4,3,1,4,3,2,1,4,3,7,2,4,9,7,9,9,6,10,2,7,7,2,4,2,1,2,1,1,2,2,1,1,2,4,1,1,2,2,3,4,1,1,1,1,1,1,3,2,1,1,2,1,1,1,3,2,3,1,1,4,3,5,1,2,2,3,1,2,1,3,1,1,3,1,3,1,1,3,7,4,9,1,1,1,1,1,1,1,1,1,2,5,3,3,4,3,4,4,1,25,1,4,2,2,1,2,1,3,2,NA,2,NA,NA,NA,NA,2,2,1,NA,NA,6,1,2,4,1,1,4,2,3,3,1,18,6,NA,12,4,4,3,4,2,NA,NA,NA,2,3,NA,NA,2,3,10,6,1,7,26,10,1,NA
"32",2,2,1,2,2,6,8,8,2,3,2,4,1,50,2,3,3,2,2,2,2,2,2,2,2,2,50,1,2,2,1,3,1,4,8,4,1,4,1,2,3,4,3,10,1,5,10,3,3,1,1,9,1,9,6,3,2,3,4,4,3,3,3,3,3,2,2,3,3,3,3,2,3,3,2,2,1,1,1,1,3,2,1,1,3,1,1,3,3,3,3,1,1,2,4,5,2,3,5,3,2,1,1,1,1,1,1,1,1,1,1,1,7,7,8,1,1,1,1,1,1,1,1,1,1,5,1,2,2,4,1,2,1,70,1,2,1,1,3,3,3,1,2,NA,2,NA,NA,NA,NA,2,2,1,1,18,6,1,4,1,2,2,1,4,3,2,2,68,7,NA,3,2,1,3,3,2,NA,4,5,2,NA,NA,NA,2,3,NA,1,NA,NA,26,10,1,1
"33",4,4,1,1,1,1,7,7,4,4,4,4,1,1,1,2,1,4,3,4,1,2,1,4,4,2,1,2,1,1,2,1,2,4,4,1,2,2,1,3,4,2,4,3,10,7,5,6,1,1,1,5,10,6,1,2,1,2,1,3,1,1,1,2,1,1,4,3,1,2,1,1,4,4,2,2,2,2,2,2,3,2,1,1,3,1,1,1,1,1,2,1,1,4,2,4,1,4,1,4,1,2,2,2,2,2,2,2,3,1,1,2,7,7,8,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,2,1,2,2,1,1,1,4,3,1,1,NA,1,NA,NA,NA,NA,1,1,2,1,2,5,1,1,1,5,2,1,3,4,2,1,70,2,32,8,2.5,2,1,2,2,NA,3,5,1,7,NA,NA,1,7,NA,11,12,13,26,10,1,1
