"","date","id","version","age","age_group","sex","v5","v6","v7","v8","v9","v10","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45A","v45B","v45C","v45D","v45E","v45F","v45G","v45H","v45I","v45J","v46A","v46B","v46C","v46D","v46E","v46F","v46G","v46H","v46I","v46J","v46K","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v59","v60","v61","v62","v63","v64","v65","v66","v103","v67","v69","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v86","v87","v89","v90","v91","v92","v93","v98_B","v100","v101","v102","v88","v104","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129_B","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150","v151","v152","v153","v156","week","a_date","a_age","a_agegroup","a_sex","a_religion","a_educ","a_v1","a_v2","a_v3","a_v4","a_v5A","a_v6","a_v7A","a_v8","a_v9","a_v10","a_v11","a_v12","a_v13","a_v14","a_v5B","a_v7B","a_v15","a_v16","a_v20","a_v22"
"11","23/12/2012",2597,1,34,3,2,1,3,3,27,5,5,4,3,2,1,1,1,2,3,4,1,1,2,1,4,4,1,3,3,NA,3,1,3,4,1,4,4,4,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,2,3,2,1,3,3,9,1,1,2,2,1,1,NA,NA,NA,6,4,5,NA,NA,2,1,4,2,5,3,4,1,1,4,4,1,1,4,4,1,8,3,8,1,2,2,1,5,NA,2,4,NA,NA,16,7,1,1,1,33,1,1,6,3,5,5,2,1,1,9000,1,1,8,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","23/12/2012",2883,2,31,3,1,1,2,2,18,3,1,NA,4,2,3,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,3,2,2,2,1,NA,NA,3,NA,NA,NA,NA,1,2,3,9,5,3,9,7,5,3,NA,NA,NA,9,5,3,7,5,4,8,0,NA,NA,NA,2,2,2,4,4,2,2,3,2,4,1,2,3,1,1,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,3,6,5,4,2,2,1,97,2,2,3,3,3,1,4,2,2,1,3,1,1,1,2,1,1,2,2,2,1,3,2,5,NA,NA,15,7,2,1,1,5,2,1,9,5,2,3,3,1,2,6300,1,1,77,1,"03/02/2013",31,3,1,1,15,1,5,2,2,5,5,4,4,2,4,2,2,4,4,2,2,4,2,1,77
"13","23/12/2012",2385,1,37,3,1,1,9,4,18,4,5,1,9,1,2,2,3,4,1,2,1,1,2,3,1,1,3,4,3,NA,4,1,2,3,3,2,9,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,1,2,1,3,1,3,1,1,2,1,1,1,NA,NA,NA,1,6,4,NA,NA,2,3,98,2,9,3,4,3,4,1,2,1,2,3,2,2,8,2,1,6,1,1,NA,NA,NA,2,4,NA,NA,14,5,1,2,1,13,2,1,99,7,1,1,4,1,1,2660,1,1,8,1,"29/01/2013",37,3,1,1,14,1,4,3,100,3,5,3,5,2,5,1,2,5,5,4,5,4,2,1,8
"14","23/12/2012",2927,1,30,3,2,1,3,2,35,1,1,4,4,2,1,1,1,2,4,3,2,1,3,1,4,4,1,2,3,NA,2,2,3,2,1,4,4,4,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,2,1,3,1,1,1,3,1,1,3,2,1,1,NA,NA,NA,3,4,1,NA,NA,2,2,1,94,1,1,4,2,2,4,3,1,2,3,1,1,2,3,1,6,1,1,NA,NA,NA,3,4,NA,NA,21,8,2,1,1,15,1,1,4,7,2.5,1,3,1,3,681,1,1,4,1,"29/01/2013",30,3,2,1,20,2,98,1,1,2,2,4,4,2,2,2,2,4,4,4,2,6,2,1,52
"15","23/12/2012",2799,2,32,3,2,1,2,3,34,4,4,NA,4,2,3,2,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,1,4,3,3,4,NA,NA,9,NA,NA,NA,NA,2,4,1,4,0,0,4,3,0,0,NA,NA,NA,7,2,0,2,4,0,5,3,NA,NA,NA,2,2,2,5,3,5,5,3,5,5,3,1,1,3,3,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,1,1,1,4,1,2,2,97,9,1,1,4,3,2,4,1,4,2,1,3,9,8,3,8,1,2,2,1,1,10,4,5,NA,NA,16,7,2,1,1,16,1,1,5,4,3,4,3,1,4,3000,1,1,2,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","23/12/2012",2824,2,31,3,2,1,3,3,29,3,3,NA,3,1,3,4,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,4,2,3,3,4,NA,NA,4,NA,NA,NA,NA,1,1,3,5,5,6,6,0,4,4,NA,NA,NA,5,6,7,0,2,4,6,7,NA,NA,NA,1,1,2,2,2,1,3,1,5,5,1,2,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,5,1,4,9,9,3,1,97,99,4,9,4,2,1,3,4,1,1,4,4,4,8,3,1,1,2,2,1,1,8,2,4,NA,NA,18,8,1,1,1,99,1,1,97,9,99,99,3,1,1,6300,1,1,3,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","23/12/2012",2255,2,38,3,1,1,2,2,34,2,2,NA,3,1,3,2,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,3,4,2,2,2,NA,NA,1,NA,NA,NA,NA,2,3,3,8,3,3,5,5,3,3,NA,NA,NA,8,4,4,5,6,4,5,4,NA,NA,NA,2,2,2,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,6,5,5,4,1,2,1,1,2,2,3,1,2,1,4,4,1,1,4,2,2,1,2,1,1,2,2,2,9,91,2,4,NA,NA,16,8,1,1,1,99,9,1,10,4,5,5,2,1,1,53,1,1,54,1,"04/02/2013",39,3,1,1,16,1,1,4,99,4,4,4,4,1,3,3,2,1,4,2,4,5,2,1,52
"18","23/12/2012",2848,1,31,3,1,1,2,3,27,4,3,1,1,1,4,2,4,3,1,2,1,1,2,3,2,2,2,4,3,NA,3,1,1,4,3,3,3,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,2,1,1,2,2,1,2,2,1,1,1,NA,NA,NA,5,6,6,NA,NA,3,1,2,1,5,3,9,3,2,3,3,1,1,4,4,1,8,3,1,6,1,9,NA,NA,NA,2,5,NA,NA,20,8,1,1,1,16,1,1,97,7,99,99,3,1,1,6600,1,1,52,1,"29/01/2013",31,3,1,1,20,1,2,4,100,3,4,3,4,2,3,2,2,4,4,3,4,4,6,1,52
"19","23/12/2012",2601,1,34,3,1,1,2,2,18,4,3,4,3,2,4,2,1,3,2,4,3,2,3,2,3,3,2,1,3,NA,9,2,2,1,9,4,3,4,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,1,1,3,2,2,3,1,1,2,1,1,1,NA,NA,NA,4,5,1,NA,NA,2,1,6,6,3,2,1,3,1,4,4,9,2,3,3,3,8,2,1,1,2,2,2,1,NA,4,4,NA,NA,9999,3,2,2,1,16,2,1,7,3,5,7,3,1,4,6100,1,1,52,1,"31/01/2013",33,3,1,1,16,1,6,6,6,4,3,3,4,2,4,3,3,4,2,4,4,4,5,1,52
"20","23/12/2012",2890,2,30,3,1,1,2,2,18,4,3,NA,3,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,4,3,3,9,NA,NA,4,NA,NA,NA,NA,2,2,4,5,5,5,5,5,5,5,NA,NA,NA,6,5,5,5,0,5,5,10,NA,NA,NA,3,1,2,2,2,3,2,3,5,5,1,1,2,1,1,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,4,6,2,4,1,3,1,2,4,3,1,3,1,2,3,3,1,2,4,4,1,2,4,1,1,2,2,2,2,2,3,4,NA,NA,24,8,2,1,2,7,1,1,3,5,3,5,3,1,2,8600,1,1,54,1,"03/02/2013",30,3,1,1,22,2,98,1,98,4,4,2,4,3,2,2,2,3,4,4,2,6,2,1,54
