"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42"
"1",1,1,5,4,3,2,1,5,2,4,2,5,6,1,1,2,2,2,2,40,1,2,3,1,2,1,2,1,1,NA,2,4,2,2,3,3,4,1,2,5,8,3,2,2,1,5,1,6,5,2,8,3,8,2,1,1,1,1,1,1,2,1,4,4,4,4,4,1,2,8,6,2,1,3,8,8,4,1,2,2,3,2,3,1,1,2,2,2,2,1,1,2,2,1,2,6,4,3,3,1,4,2,4,4,4,4,2,1,2,4,3,3,3,4,3,1,2,1,1,2,1,3,2,2,2,3,1,1,2,5,5,1,1,2,NA,3,1,3,1,3,1,1,3,3,1,3,4,NA,2,1,3,1,3,1,2,1,5,NA,2,1,2,1,2,1,2,1,3,1,3,5,3,3,3,3,4,1,3,3,1,2,1,1,2,1,1,2,44,3,1,2,4,3,6,NA,18,1,2,1,2,1,4,4,2,2,1,1,3,4,9
"2",2,1,3,3,30,2,1,4,3,2,2,6,7,2,1,2,2,3,2,45,1,4,2,1,3,1,3,3,2,3,3,4,3,3,2,3,4,2,1,5,8,5,4,7,3,6,6,7,5,2,6,4,6,2,6,3,4,1,3,1,2,3,3,4,4,4,4,4,3,8,7,3,6,7,7,7,7,7,2,4,NA,2,3,1,1,2,2,2,2,2,1,1,2,2,1,6,NA,3,2,3,3,4,4,4,4,3,4,3,2,2,4,3,2,3,1,2,1,1,3,2,1,1,3,1,2,1,1,1,1,3,5,2,1,2,3,3,3,1,3,3,4,1,3,1,1,1,2,3,2,1,2,1,3,NA,2,1,2,1,2,3,2,3,2,1,2,NA,2,1,3,5,3,3,2,3,4,4,2,2,1,2,2,2,2,1,2,1,24,3,1,2,4,3,3,NA,12,NA,3,1,2,1,4,2,1,3,1,2,2,4,16
"3",3,1,2,3,9,2,5,3,3,2,3,5,1,1,7,2,2,2,2,70,1,3,3,2,3,1,2,2,3,2,1,1,1,2,2,1,2,4,3,3,4,3,6,6,2,1,1,2,1,5,5,5,3,1,1,2,2,1,2,1,2,4,4,4,2,4,3,1,5,5,2,2,1,3,7,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,3,NA,2,2,3,4,4,3,2,4,3,2,1,2,3,3,2,1,3,4,3,2,1,2,2,1,3,3,1,3,2,1,1,1,3,3,1,2,1,3,3,2,3,2,NA,2,1,3,1,1,1,5,NA,1,3,2,3,4,3,5,NA,1,3,2,3,2,3,1,3,2,3,2,3,3,4,2,3,3,3,3,1,1,4,2,1,5,1,1,3,2,3,23,3,1,2,4,3,8,NA,12,2,4,1,2,1,3,2,2,3,1,2,3,4,13
"4",4,1,2,3,98,2,1,3,3,3,1,4,1,1,7,2,3,2,3,50,2,3,2,2,1,1,2,1,1,1,1,1,3,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,4,2,4,1,3,3,1,5,5,1,1,1,5,5,1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,6,4,4,4,1,3,1,3,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,3,2,3,1,1,3,5,5,1,4,4,4,4,3,3,4,4,1,3,3,3,4,4,5,NA,5,NA,5,NA,5,NA,5,NA,2,NA,5,NA,NA,NA,2,NA,5,NA,5,NA,3,6,4,4,4,5,4,6,2,2,1,2,2,1,4,12,1,7,35,3,1,2,NA,NA,5,73,13,1,3,1,3,3,3,2,1,3,1,2,3,4,13
"5",5,1,2,2,9,1,2,2,2,3,3,4,6,4,7,3,2,2,3,41,1,3,2,1,3,1,2,2,3,2,4,4,2,2,2,3,4,1,2,3,5,6,7,5,5,6,5,6,5,8,9,5,5,4,5,2,3,1,1,1,2,2,4,4,2,3,2,3,7,6,5,6,5,9,8,7,7,5,2,1,3,1,2,2,2,1,1,2,2,1,1,2,2,1,1,4,3,NA,2,3,4,3,4,2,3,2,3,1,2,2,3,2,3,2,2,1,NA,1,1,2,1,3,3,2,3,1,1,1,4,5,5,1,2,2,3,2,2,3,3,3,2,1,3,3,2,2,1,3,1,2,1,3,1,2,1,3,1,3,1,3,1,2,1,3,1,2,1,2,3,6,3,2,4,4,4,2,1,NA,2,1,1,1,1,2,4,4,50,3,1,2,4,3,3,57,17,1,4,1,3,1,6,6,1,2,1,2,3,4,25
"6",6,1,2,2,3,1,2,2,1,3,NA,3,6,2,4,3,2,2,3,50,2,3,3,1,2,1,2,2,4,3,4,4,3,2,3,1,2,3,4,2,3,2,9,2,9,6,2,8,2,9,8,7,8,8,3,2,3,4,2,1,NA,3,3,3,3,3,4,4,9,9,8,2,2,5,5,5,5,5,2,4,2,4,2,2,2,2,2,2,1,2,2,1,2,2,2,2,4,2,2,2,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,1,3,3,1,1,2,2,2,2,3,3,2,1,1,1,2,2,3,3,3,3,3,3,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,3,1,3,3,4,3,2,2,3,2,2,1,2,2,1,1,1,3,2,1,4,26,2,1,2,3,4,3,95,10,2,5,1,2,1,3,3,3,3,1,1,12,4,4
"7",7,1,3,3,8,7,10,4,3,3,3,5,5,4,6,2,1,NA,3,50,2,3,3,1,2,NA,1,2,4,3,4,4,4,2,2,1,4,2,3,4,8,4,8,4,8,7,1,9,2,8,8,7,3,8,1,4,2,5,1,1,2,4,4,4,3,3,4,4,8,8,7,2,2,8,8,8,3,3,2,2,4,2,3,1,2,2,2,2,2,2,1,2,2,2,2,4,4,4,2,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,2,2,1,3,3,1,1,2,1,3,3,1,1,3,2,3,2,3,3,2,3,2,3,3,2,2,2,4,3,4,4,1,2,1,3,2,3,5,NA,2,1,2,1,2,1,2,1,2,3,2,3,5,NA,3,5,4,3,3,5,4,3,1,1,7,3,2,1,2,1,1,1,24,2,2,1,4,3,9,NA,12,2,5,2,NA,5,4,3,2,3,2,2,12,4,4
"8",8,1,4,3,9,1,7,1,2,3,3,4,2,2,4,2,2,2,2,50,2,4,3,1,3,1,3,2,4,3,4,4,3,2,2,1,3,4,2,3,3,1,9,3,8,7,1,3,2,9,8,5,2,8,2,3,3,2,1,1,2,3,2,3,3,2,2,3,9,9,9,2,2,8,8,7,4,3,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,4,3,3,3,4,4,3,3,4,4,4,2,4,4,4,4,5,5,5,2,2,1,3,2,1,1,2,1,3,2,1,1,3,2,3,2,4,4,2,1,2,1,1,2,3,3,4,3,4,4,2,3,1,2,1,3,5,NA,1,2,1,2,2,1,1,2,1,2,4,3,4,3,3,4,3,1,2,5,3,2,1,2,2,1,1,2,4,12,1,5,20,3,2,1,3,4,5,84,12,2,3,2,NA,5,4,5,2,2,2,1,12,4,4
"9",9,1,3,4,37,3,7,3,3,3,3,3,3,1,4,2,2,NA,3,40,2,2,3,1,3,1,2,2,4,2,4,4,4,3,NA,1,4,3,2,5,2,4,3,2,3,4,1,2,1,3,7,2,3,3,1,1,2,1,2,2,3,4,4,4,4,4,4,4,9,9,10,1,1,8,8,9,1,1,2,2,4,2,4,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4,3,4,4,4,2,3,3,3,3,3,3,3,2,2,1,3,2,1,1,2,1,3,2,1,1,2,2,3,2,2,2,4,2,1,1,1,1,1,2,4,3,4,4,3,2,2,3,2,3,5,NA,2,1,5,NA,2,3,2,3,3,2,3,2,5,NA,3,5,3,3,3,4,3,7,1,4,7,3,4,3,4,12,1,3,47,3,2,1,3,4,9,NA,15,2,5,2,NA,5,4,3,2,3,1,2,12,4,4
"10",10,1,5,4,3,2,12,5,4,3,3,6,1,1,4,4,2,2,4,50,2,2,3,1,3,1,2,3,3,3,3,3,3,2,3,1,2,4,3,5,4,1,9,2,10,3,1,6,1,10,8,9,1,10,2,3,2,1,1,1,2,4,4,3,4,3,3,4,9,9,9,2,2,8,8,8,3,4,2,4,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,2,2,1,3,1,1,1,2,1,1,2,1,1,2,2,3,3,4,4,1,2,2,2,2,2,2,2,4,3,3,3,1,2,1,2,1,2,5,NA,1,2,1,2,1,2,1,2,1,2,1,2,5,NA,3,2,4,3,3,5,3,2,1,4,12,2,2,1,1,8,2,4,24,2,1,2,4,3,4,NA,12,2,5,2,NA,4,5,5,2,2,4,2,12,4,4
"11",11,1,2,3,3,2,8,3,3,3,3,3,2,2,5,3,2,2,2,40,1,3,3,1,3,1,2,2,4,2,4,4,4,2,2,1,4,3,2,8,9,2,8,5,3,8,1,10,1,8,9,2,9,7,2,2,2,1,2,2,3,3,3,3,3,4,4,4,8,10,9,2,1,8,10,9,1,1,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,6,4,4,3,3,3,3,4,4,4,4,4,1,4,4,3,3,4,4,4,3,2,1,3,3,1,1,3,1,3,3,1,1,3,4,4,2,4,4,3,1,1,1,1,2,3,3,4,3,3,1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,3,4,4,3,1,1,8,2,NA,2,5,13,1,2,21,4,1,2,3,4,9,NA,11,2,5,1,1,1,5,9,3,3,1,1,12,4,4
"12",12,1,3,2,9,7,22,5,1,NA,3,6,1,1,4,2,2,2,4,60,1,1,3,2,2,1,2,4,4,2,4,4,4,3,3,4,1,3,2,7,4,8,8,6,7,7,1,5,4,7,9,2,4,2,1,2,3,1,1,2,3,3,3,3,3,3,3,3,9,9,10,3,1,8,9,10,3,1,2,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,4,4,4,3,3,4,3,3,3,4,4,3,1,3,3,3,3,4,4,4,2,2,1,3,2,1,1,2,1,3,2,1,1,2,3,5,2,4,3,3,3,2,3,4,2,4,2,3,3,1,1,3,1,1,3,5,NA,5,NA,3,1,3,1,3,1,1,3,1,3,3,1,3,1,3,1,2,4,2,4,2,2,1,4,2,7,1,1,4,12,1,3,24,2,2,1,4,3,6,NA,12,2,NA,1,2,NA,5,3,2,3,2,2,12,4,4
"13",13,1,5,4,9,3,7,5,5,NA,3,6,2,1,4,2,3,2,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,4,8,8,6,8,1,9,2,8,8,3,2,7,3,3,2,3,1,2,3,3,4,4,4,3,3,3,9,9,9,1,1,8,9,9,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,4,3,4,4,3,3,3,4,2,3,3,3,3,3,3,3,2,2,1,2,2,1,3,2,3,3,3,1,1,2,3,3,2,3,3,2,1,1,1,1,2,1,3,4,3,3,3,2,3,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,5,3,2,1,4,4,NA,2,NA,14,3,2,1,1,4,1,3,25,3,1,2,4,3,6,NA,15,1,5,1,2,1,5,5,1,3,1,2,12,4,4
"14",14,1,3,2,3,2,7,3,2,3,3,6,5,1,4,2,2,2,2,55,2,3,3,1,3,NA,2,2,4,2,3,3,3,2,2,1,3,4,2,8,9,5,4,6,5,9,1,9,1,8,8,1,5,5,2,3,2,1,1,2,3,4,4,4,3,4,4,4,8,9,9,2,2,8,9,9,2,1,2,3,3,2,3,1,2,2,2,2,2,1,1,2,2,1,1,4,4,3,3,3,3,3,3,4,4,4,4,2,3,3,3,4,4,4,4,1,2,1,3,3,1,1,2,3,3,3,1,1,2,2,3,2,3,4,1,1,1,1,1,1,1,1,4,3,3,3,2,NA,1,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,5,3,2,3,4,3,2,1,NA,5,2,2,2,5,13,1,1,21,3,1,2,3,4,6,NA,14,2,5,2,NA,5,3,5,2,3,2,2,12,4,4
"15",15,1,4,3,3,2,5,5,3,2,NA,7,7,1,5,1,1,3,1,70,2,2,3,1,3,2,1,1,2,2,4,3,4,2,3,1,4,3,2,8,10,8,6,10,6,8,1,9,1,7,8,2,7,5,1,3,1,1,1,2,NA,3,4,4,3,4,4,4,3,9,8,7,2,3,9,8,7,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,6,4,4,2,3,4,4,4,4,4,4,4,1,4,5,5,5,5,5,5,2,2,1,1,3,1,1,2,1,3,2,1,1,2,2,3,2,2,2,4,1,1,1,1,2,1,1,4,3,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,5,3,3,4,3,4,6,2,3,5,2,2,2,2,1,1,1,52,3,1,2,3,4,9,NA,12,2,4,1,4,2,5,5,1,3,1,2,12,4,5
"16",16,1,3,3,2,2,1,4,3,3,3,3,4,1,4,3,2,2,2,55,1,2,2,1,2,1,1,2,3,3,4,4,4,2,2,1,4,2,3,7,10,6,7,9,5,7,1,10,1,8,8,2,8,6,2,4,2,1,1,2,3,3,3,3,3,3,3,3,9,10,8,6,2,8,10,9,7,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,6,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,1,1,3,1,1,2,3,2,3,1,1,2,2,3,2,2,3,3,1,1,1,1,1,1,1,4,1,1,1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,5,2,3,3,3,3,6,1,2,1,2,2,1,5,13,1,1,21,4,1,2,3,4,3,NA,12,2,4,1,2,1,4,4,1,3,1,2,12,4,5
"17",17,1,5,4,7,1,2,4,3,3,3,5,2,1,4,3,2,2,2,45,2,2,2,1,2,1,1,1,4,1,4,4,4,3,3,1,4,2,3,7,7,2,10,2,8,8,1,8,1,10,9,2,5,7,1,2,1,2,2,1,3,3,3,3,3,3,3,3,9,8,8,1,1,8,8,8,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,1,3,3,1,1,3,1,3,2,1,1,2,2,3,2,3,4,4,1,2,2,2,2,2,2,4,2,4,4,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,3,4,3,4,4,4,5,1,3,7,3,1,1,1,2,1,5,31,3,2,1,4,3,6,NA,12,2,5,1,1,2,3,4,2,3,2,2,12,4,5
"18",18,1,4,4,3,1,7,2,3,3,3,4,1,1,5,3,2,2,2,40,1,2,3,1,2,1,1,3,4,3,4,3,4,3,3,1,4,2,3,8,8,6,9,5,7,8,1,8,1,9,8,1,8,7,1,4,3,3,2,1,3,3,3,3,3,3,3,3,10,8,9,3,1,9,8,8,4,1,2,1,NA,1,1,2,2,1,1,1,2,2,2,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,2,2,1,1,3,1,1,2,3,3,2,1,1,2,2,4,2,2,2,3,1,2,2,2,2,2,2,4,3,4,4,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,5,3,3,3,4,3,3,1,2,6,1,1,1,1,4,2,3,30,3,2,1,4,3,5,NA,17,1,4,1,1,1,3,3,2,3,2,2,12,4,5
"19",19,1,5,4,9,1,2,4,2,3,3,4,4,1,4,3,2,2,2,40,2,1,3,1,2,NA,2,2,4,3,4,4,4,2,3,4,2,1,3,8,7,2,10,6,8,8,1,8,1,10,9,2,7,7,6,4,3,1,2,1,2,3,3,3,3,3,3,3,10,8,8,4,2,9,8,8,3,3,2,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,2,1,1,3,1,1,3,1,3,3,1,1,2,2,4,2,2,2,2,1,2,2,2,2,2,2,4,2,2,4,1,2,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,3,3,5,2,3,3,3,3,5,1,2,2,1,1,1,1,2,1,5,24,4,2,1,3,4,8,NA,12,2,5,2,NA,5,5,3,2,3,2,2,12,4,5
"20",20,1,4,3,3,1,2,3,4,2,2,2,1,6,1,2,2,2,2,55,1,3,2,1,2,1,2,2,4,3,3,4,3,2,2,1,4,2,3,8,7,2,10,3,7,8,1,8,3,10,9,5,8,8,3,4,3,1,1,1,3,3,4,4,3,4,4,4,10,9,9,2,2,9,8,8,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,1,1,3,1,1,2,3,3,2,1,1,2,1,4,2,2,3,2,1,2,3,2,2,2,2,4,2,2,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,5,2,2,4,4,4,5,1,3,22,1,1,1,1,2,1,5,32,3,2,1,3,4,9,NA,14,2,4,1,3,1,3,4,2,3,1,1,12,4,4
"21",21,1,3,3,3,1,2,4,3,3,3,2,1,1,5,2,2,2,2,55,2,3,3,1,2,1,1,2,4,4,4,4,4,2,3,1,4,2,3,8,7,4,10,4,7,8,1,8,1,10,8,2,8,7,6,3,3,1,1,1,2,4,4,4,4,4,4,4,10,9,9,1,1,9,9,9,1,1,2,1,3,1,3,2,2,1,1,2,2,2,2,2,2,2,2,4,4,3,2,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,2,2,1,1,2,1,1,2,1,3,3,1,1,2,2,3,2,4,4,3,1,2,2,2,2,2,2,4,NA,3,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,5,3,3,4,4,4,5,1,1,99,0,1,1,1,2,1,3,73,3,2,1,3,4,4,49,18,2,5,1,4,1,4,2,3,3,1,2,12,4,5
"22",22,1,4,3,9,2,1,4,3,3,3,2,2,1,4,3,2,2,2,40,2,4,2,1,2,1,1,2,3,3,4,4,4,2,3,1,4,2,3,8,10,2,8,4,8,9,1,10,1,8,8,3,9,4,1,3,1,1,2,2,3,3,3,3,3,3,3,3,9,10,9,1,1,8,9,9,1,1,2,2,3,2,3,1,1,2,2,2,2,1,1,2,2,2,2,4,4,3,2,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,2,2,1,1,2,1,1,3,1,3,2,1,1,2,2,3,2,3,3,3,1,1,1,1,1,1,1,4,1,1,1,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,4,2,3,4,4,4,NA,1,2,1,2,2,2,2,1,1,7,58,2,2,1,3,4,7,NA,8,2,5,1,1,1,4,5,3,3,2,2,12,4,4
"23",23,1,5,3,9,8,2,5,3,NA,NA,1,1,1,4,3,2,NA,2,30,2,3,3,NA,3,1,1,3,4,4,4,4,4,2,3,3,2,4,1,7,8,3,9,3,8,8,1,8,2,10,8,1,6,6,2,3,3,1,1,2,3,3,3,3,3,3,3,3,10,8,9,2,1,9,8,9,2,1,2,1,3,1,3,2,2,1,1,1,2,2,2,2,2,2,2,5,4,3,2,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,2,2,1,3,3,1,1,3,3,3,2,1,1,2,2,4,2,3,4,3,1,2,2,2,2,2,2,4,2,3,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,3,4,3,2,4,3,3,5,1,4,2,1,1,1,5,13,NA,3,19,3,2,1,3,4,3,94,12,2,NA,1,1,NA,3,3,2,3,1,2,12,4,4
"24",24,1,2,2,18,1,2,3,2,2,3,1,1,1,5,2,2,2,4,60,1,4,3,2,1,1,1,3,4,4,4,4,4,2,2,3,1,4,2,6,1,3,10,7,7,7,1,1,5,10,8,8,6,7,6,4,1,1,1,1,3,3,3,3,3,3,3,3,9,6,6,3,5,8,6,7,6,5,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,4,2,4,1,1,3,1,2,4,2,4,1,4,4,1,2,5,5,5,1,2,1,2,3,1,3,3,1,2,3,1,1,4,3,5,2,1,4,3,2,2,2,3,2,3,2,4,2,3,4,1,3,3,1,1,3,4,3,1,3,4,3,1,3,1,3,1,3,4,3,4,3,3,4,1,2,4,3,4,4,1,1,2,1,1,1,5,13,1,5,19,3,1,2,3,4,3,95,12,2,5,2,NA,5,3,3,3,3,1,1,12,4,5
"25",25,1,5,3,37,7,2,4,3,3,3,3,3,1,4,2,2,2,3,55,2,2,3,1,2,2,1,1,4,2,4,4,4,3,3,1,4,2,3,7,7,7,8,6,7,8,2,8,1,9,8,2,3,4,1,2,2,4,2,3,4,2,3,3,3,3,4,4,8,8,9,7,1,8,8,9,7,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,1,1,1,4,4,4,2,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,1,3,2,1,1,3,3,3,2,1,1,2,2,3,2,3,3,2,3,2,1,1,2,4,1,4,3,3,3,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,5,NA,3,4,4,4,3,5,4,2,3,1,99,0,1,1,1,2,1,3,45,4,1,2,4,3,6,NA,12,2,4,1,2,1,5,4,3,3,1,2,12,4,5
"26",26,1,3,3,3,2,12,5,3,3,3,1,1,1,4,3,2,2,3,10,2,2,2,1,2,1,2,3,3,3,3,3,3,2,3,1,4,3,2,8,9,3,8,3,8,8,1,9,2,8,8,6,8,3,1,4,2,1,2,1,2,4,4,4,4,4,4,4,8,9,9,2,2,7,9,8,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,4,3,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,1,1,3,1,1,2,1,2,3,1,1,2,3,1,2,4,2,2,1,1,1,1,2,4,4,4,3,3,4,2,1,2,1,1,2,5,NA,1,2,5,NA,2,1,1,2,1,2,1,2,4,2,3,1,4,4,2,5,4,2,1,1,24,0,5,2,1,8,1,7,23,4,2,1,4,3,6,NA,12,2,NA,1,1,2,4,5,3,3,1,2,12,4,6
"27",27,1,2,3,4,8,1,4,2,3,3,1,1,1,5,2,2,3,1,20,2,2,4,NA,1,1,1,2,3,3,4,4,4,2,2,3,4,2,1,6,8,3,8,4,6,8,1,9,1,8,8,3,7,5,1,4,4,4,2,1,2,3,3,3,3,3,3,3,9,9,8,1,1,8,9,8,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,2,4,3,2,2,4,4,4,4,4,4,4,4,1,3,3,3,3,3,3,3,3,2,1,1,2,1,1,3,1,2,2,1,1,2,2,4,NA,4,4,1,1,2,1,1,2,4,3,4,3,3,4,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,3,3,3,4,3,4,4,2,3,2,98,9,4,1,4,12,1,7,29,4,2,1,3,4,4,95,15,1,NA,1,1,2,4,5,3,3,1,2,12,4,5
"28",28,1,2,3,9,1,2,4,4,3,3,5,1,1,4,3,2,2,2,50,1,4,2,1,2,1,2,3,4,4,4,4,4,2,3,1,4,3,2,8,8,2,10,3,7,8,1,8,1,10,8,2,7,6,1,3,3,1,1,1,3,4,4,4,4,4,4,4,9,8,8,1,1,9,9,9,2,2,2,3,1,1,3,2,2,1,1,2,2,2,2,2,2,1,1,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,1,3,2,1,1,2,1,3,2,1,1,2,2,4,2,3,4,2,1,3,3,2,2,3,4,4,3,2,4,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,4,2,3,4,4,3,2,1,1,2,1,1,1,4,12,1,7,62,3,2,1,3,4,4,49,12,2,5,2,NA,5,2,2,2,3,1,2,12,4,6
"29",29,1,3,3,9,2,5,4,1,3,1,7,7,1,5,2,2,4,1,50,1,2,2,1,2,1,2,NA,NA,NA,NA,NA,NA,2,3,4,3,1,2,7,9,3,8,10,7,8,1,9,1,8,8,3,8,4,1,3,2,4,2,2,3,4,4,4,4,4,4,4,9,10,9,1,2,7,9,9,3,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,1,1,7,4,3,3,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,2,1,3,2,1,1,3,1,3,2,1,1,2,3,3,2,3,3,3,1,1,1,1,3,4,4,4,3,3,4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,4,3,3,3,4,2,2,1,2,5,0,2,2,2,3,2,1,23,3,2,1,3,4,4,91,14,2,NA,1,1,1,3,2,2,3,1,2,12,4,6
"30",30,1,5,4,9,3,7,5,5,NA,NA,7,1,1,4,2,2,2,NA,80,1,4,2,1,2,NA,2,2,3,2,4,4,4,2,NA,4,3,1,2,10,8,3,8,6,6,10,1,8,2,8,8,3,8,5,1,4,3,1,2,2,3,4,4,4,4,4,4,4,9,9,10,3,2,8,9,10,4,3,2,3,2,3,1,1,2,2,2,1,2,2,2,2,2,1,1,1,4,3,3,4,4,4,4,4,4,4,4,1,3,3,3,3,3,3,3,3,2,1,3,2,1,1,2,1,3,2,1,1,2,2,4,2,2,2,2,1,1,1,1,2,4,3,4,3,4,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,5,3,3,4,3,4,5,1,1,7,3,2,3,1,2,1,5,23,2,2,1,3,4,6,NA,12,2,NA,1,3,1,4,5,2,4,2,2,12,4,6
"31",31,1,3,3,3,8,7,5,5,2,3,1,7,1,5,1,2,2,4,25,1,4,3,1,1,NA,1,4,4,4,4,4,4,1,2,1,2,4,3,8,7,1,9,3,8,8,1,8,1,9,8,2,7,7,1,3,3,1,2,1,3,3,3,3,3,3,3,3,9,8,8,1,1,8,8,9,2,1,2,3,1,1,3,2,2,1,1,2,2,2,2,2,2,2,2,1,4,3,3,3,4,4,4,4,4,4,4,2,4,5,5,5,5,5,5,2,2,1,2,2,1,1,2,1,3,2,1,1,2,2,3,2,3,3,1,1,2,1,2,2,2,2,4,2,2,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,4,3,3,4,3,NA,5,1,2,98,9,NA,1,1,2,1,5,24,2,1,2,3,4,7,NA,12,2,4,1,1,1,4,11,1,3,2,2,12,4,5
