"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42"
"246",248,1,1,3,98,7,26,4,3,3,4,2,7,4,4,2,1,1,4,30,2,4,4,2,3,1,1,1,4,1,1,1,1,3,3,2,3,4,1,1,1,4,3,1,1,1,1,1,1,8,1,2,1,1,1,2,1,3,1,1,3,4,4,3,2,4,3,4,10,1,1,5,1,10,1,1,4,1,2,1,5,1,5,2,2,1,1,1,1,2,2,1,1,2,2,2,NA,4,4,4,4,3,2,2,4,3,3,2,5,5,5,5,5,5,5,1,2,3,2,2,3,3,2,2,2,2,1,1,1,3,5,1,3,3,3,2,2,2,4,2,2,2,1,2,2,2,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,3,1,3,1,2,1,3,3,2,2,4,4,3,4,4,1,4,2,1,1,1,1,2,1,5,NA,3,2,1,3,4,6,NA,12,2,2,1,3,1,3,3,2,3,1,1,6,4,16
"247",249,1,2,2,98,1,3,3,3,2,3,1,1,4,1,3,1,1,4,30,1,1,4,2,2,2,1,1,4,1,NA,3,1,2,2,2,3,1,4,1,1,8,8,1,6,1,1,1,1,10,1,1,1,1,1,2,1,1,1,1,NA,4,4,4,3,4,4,4,10,1,1,8,1,10,1,1,8,1,2,1,5,1,5,2,2,1,1,1,1,2,2,1,1,2,2,1,NA,4,4,4,4,4,3,3,4,4,4,2,5,5,5,5,5,5,5,1,2,1,2,2,1,1,3,2,1,2,1,1,2,2,4,1,3,3,3,2,2,2,2,2,2,2,1,2,2,2,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,2,4,4,4,4,4,4,1,4,3,1,1,1,1,6,1,5,48,3,1,2,3,4,8,NA,10,2,3,1,1,1,5,3,3,3,1,1,70,4,21
"248",250,1,1,1,9,1,2,1,2,4,4,7,3,2,5,2,1,1,1,60,1,2,4,2,4,1,1,1,4,1,3,4,1,4,4,1,3,4,2,1,1,8,10,1,2,1,1,1,1,10,1,1,4,2,1,2,NA,1,1,1,2,4,4,4,3,4,4,3,10,1,1,7,1,10,1,1,7,1,2,1,5,1,5,2,2,1,1,1,1,2,2,1,1,2,2,1,NA,4,4,4,4,4,3,3,4,4,4,2,5,5,5,5,5,5,5,1,2,1,2,2,1,1,3,1,1,2,1,1,2,2,4,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,3,1,2,1,2,1,3,1,2,1,2,1,2,1,2,3,2,4,4,4,5,4,3,3,4,2,1,1,1,4,12,2,5,23,3,1,2,3,4,6,NA,13,NA,3,1,3,1,5,4,1,3,1,2,10,4,15
"249",251,1,3,2,98,7,22,3,3,3,3,2,4,2,6,3,2,2,3,40,1,2,3,2,2,1,2,2,2,4,3,3,3,3,4,2,1,3,4,7,6,6,7,3,3,7,2,7,3,7,7,5,7,3,3,3,3,4,2,1,2,1,1,3,1,1,2,2,7,6,7,5,3,10,6,7,7,5,2,1,3,1,3,2,2,1,1,1,2,2,1,1,2,2,1,3,NA,2,2,2,2,2,2,2,2,2,2,1,3,5,5,5,2,4,4,3,1,2,2,2,1,2,2,1,2,2,1,3,4,5,5,2,4,4,4,3,2,3,4,2,4,4,3,2,4,4,1,3,4,NA,5,NA,5,NA,1,2,4,NA,1,2,1,3,4,NA,4,NA,5,NA,3,4,2,2,2,3,3,2,1,3,22,0,5,2,5,13,1,3,18,3,4,1,2,3,6,NA,12,2,3,1,1,2,4,4,3,NA,1,2,19,4,18
"250",252,1,4,4,26,7,1,3,3,3,3,4,3,1,4,2,3,3,3,10,1,3,1,1,4,2,1,2,2,3,4,4,3,3,3,3,4,2,1,1,1,1,1,1,1,4,1,1,1,5,NA,1,1,1,1,3,1,5,2,1,2,1,4,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,5,NA,5,NA,2,2,2,2,1,2,2,2,1,2,2,2,4,4,NA,NA,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,1,2,2,1,2,2,1,3,1,1,1,3,4,4,3,3,3,3,3,4,4,4,3,3,4,4,1,2,1,2,5,NA,5,NA,1,3,5,NA,5,NA,1,2,1,3,5,NA,5,NA,3,1,4,4,3,4,4,3,3,4,99,0,5,1,4,12,1,7,30,4,1,2,4,3,6,NA,10,NA,2,1,1,2,2,5,1,4,1,2,19,4,25
"251",253,1,3,2,9,1,2,4,4,2,2,1,7,1,1,3,2,2,4,0,2,1,3,1,4,2,1,1,1,1,3,3,4,3,2,3,1,2,4,7,6,5,3,5,2,8,1,6,1,1,7,3,5,1,1,3,2,2,3,1,3,3,3,3,3,3,3,3,1,4,10,3,1,5,6,7,4,2,2,3,2,3,1,1,2,2,2,1,2,2,2,2,2,2,1,4,4,NA,NA,3,4,2,4,1,1,3,3,1,3,4,4,5,1,3,4,3,NA,1,1,3,1,1,1,1,3,2,1,1,3,2,3,2,4,4,2,3,2,3,4,2,4,4,3,3,4,4,4,NA,1,2,1,2,5,NA,4,NA,4,NA,5,NA,4,NA,1,2,4,NA,5,NA,3,1,4,4,3,3,3,5,3,3,7,3,1,1,4,12,1,3,27,3,2,1,4,3,6,NA,12,NA,2,2,NA,NA,2,5,3,4,2,1,19,4,25
"252",254,1,4,4,2,2,1,5,4,3,3,5,5,2,2,1,2,2,2,70,1,1,2,2,2,1,3,2,3,2,4,4,4,2,4,2,1,3,4,8,9,9,3,9,5,7,2,10,5,6,10,7,10,4,4,3,4,4,2,1,2,2,4,4,4,3,3,2,4,7,6,3,4,3,8,8,8,5,2,2,3,2,3,1,2,2,1,2,2,1,1,2,2,2,1,6,NA,2,3,2,4,4,4,4,3,4,2,1,1,4,4,3,2,3,1,2,1,1,1,2,1,2,2,1,2,3,1,3,1,4,2,2,2,4,3,1,2,1,1,1,1,1,4,1,1,1,4,NA,2,3,3,1,3,1,2,1,2,3,2,3,2,3,2,1,2,1,2,1,3,6,4,4,3,3,3,6,3,2,NA,2,2,1,2,3,1,1,21,4,1,2,4,3,9,NA,12,NA,3,1,1,1,6,5,2,2,1,1,19,4,25
"253",255,1,1,2,9,7,13,3,3,2,2,5,7,1,1,4,2,2,4,40,1,2,3,1,3,2,1,4,3,4,3,2,3,1,4,3,1,2,4,5,4,8,8,1,1,6,1,7,1,10,8,8,6,1,1,3,3,4,2,1,NA,4,4,4,3,4,3,3,9,5,7,9,2,5,5,4,2,3,2,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,NA,3,2,4,1,4,2,4,3,4,4,1,4,3,1,5,1,5,5,NA,NA,2,2,2,1,2,2,1,2,2,1,1,4,5,5,2,4,4,4,3,3,3,4,3,4,4,3,3,4,4,1,2,1,2,4,NA,5,NA,1,2,4,NA,2,1,3,1,3,1,5,NA,5,NA,3,4,1,3,4,5,4,3,1,4,3,1,1,1,1,4,1,3,45,4,2,4,1,3,10,NA,12,2,3,1,4,2,4,4,1,3,1,2,19,4,22
"254",256,1,3,2,9,1,2,3,3,3,3,3,7,3,3,3,2,2,4,0,2,2,3,1,2,2,2,2,3,4,4,4,3,2,3,4,2,3,1,4,4,5,6,2,1,5,1,6,1,10,7,4,5,1,1,2,2,1,1,1,2,2,3,2,2,2,4,4,8,5,6,7,2,9,3,3,1,1,2,1,2,1,3,1,2,1,1,2,2,2,2,1,2,2,2,1,NA,2,2,4,4,4,4,3,2,4,4,1,4,4,3,3,NA,4,4,3,2,1,3,2,1,2,2,1,3,2,1,3,NA,4,4,2,2,3,4,3,2,3,4,2,4,4,3,3,4,4,1,3,1,3,5,NA,5,NA,1,2,4,NA,1,3,1,3,1,2,4,NA,5,NA,3,4,2,3,3,2,3,5,2,3,2,1,1,1,1,2,1,4,22,4,1,2,4,3,6,NA,12,2,3,NA,NA,NA,4,4,1,3,1,2,19,4,22
"255",257,1,3,NA,38,3,14,3,3,2,NA,2,4,4,4,2,1,1,2,40,2,1,3,1,3,2,2,2,3,2,2,1,3,2,3,1,4,2,3,8,9,4,4,10,1,9,1,9,4,6,7,1,3,1,1,3,1,2,2,1,2,3,3,3,3,3,3,4,8,8,10,4,2,6,10,9,5,2,2,2,3,3,2,1,2,1,2,1,2,1,1,2,2,1,1,6,3,3,2,3,3,4,2,3,4,4,4,2,2,3,3,3,2,3,1,2,2,3,2,2,1,1,2,1,2,2,1,3,1,2,4,2,3,3,3,1,2,2,2,2,1,2,2,1,1,1,1,NA,2,NA,3,NA,3,NA,1,NA,3,NA,3,NA,1,NA,1,NA,2,NA,2,NA,3,5,2,3,3,3,4,7,1,4,14,2,2,2,5,NA,2,1,20,3,2,1,3,4,9,NA,12,2,2,2,1,1,8,5,2,2,1,2,19,4,18
