"","ID","date","midgam","version","age","agegroup","sex","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51A","v51B","v51C","v51D","v51E","v51F","v51G","v51H","v51I","v51J","v51K","v51L","v51M","v51N","v56A","v56B","v56Z","v56C","v56D","v56E","v56F","v56G","v56H","v56I","v56J","v56L","v56M","v56N","v56O","v56P","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v112_a","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","after_date","after_version","after_v1","after_v2","after_v3","after_v4a_1","after_v4a_2","after_v4a_3","after_v4b","after_v5","after_v6","after_v7a","after_v7b","after_v7c","after_v7d","after_v7e","after_v7f","after_v7g","after_v7h","after_v7i","after_v7j","after_v7k","after_v8","after_v9","after_v10","after_v11","after_v12","after_v13a_1","after_v13a_2","after_v13a_3","after_v13b_1_1","after_v13b_1_2","after_v13b_1_3","after_v13b_2_1","after_v13b_2_2","after_v13b_2_3","after_v14a","after_v14b","after_v15"
"1278",17438,"16/03/2015",3,1,40,4,1,1,1,3,18,5,2,3,4,2,3,3,3,4,2,3,1,3,2,3,4,3,2,9,7,7,7,2,3,NA,NA,NA,2,3,3,9,2,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,3,3,2,3,1,1,3,NA,NA,NA,6,1,NA,NA,3,1,1,0,0,0,0,0,NA,9,1,4,0,4,3,NA,2,1,4,2,1,1,2,2,2,2,1,1,4,NA,0,1,NA,NA,NA,NA,NA,NA,18,8,2,1,1,"     999",1,1,5,4,2,1,3,3,2,3,2,2,2,4000,1,1,"24/03/2015",1,1,1,4,NA,NA,NA,NA,5,3,5,5,5,5,3,4,4,4,2,4,5,5,1,1,1,2,67,73,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"1279",15672,"16/03/2015",3,1,35,3,1,1,5,4,63,5,5,1,4,9,2,2,1,9,9,9,9,1,1,2,9,4,4,4,4,5,2,4,4,NA,NA,NA,4,2,2,2,1,NA,NA,NA,NA,NA,4,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,3,3,3,3,1,3,4,NA,NA,NA,4,3,NA,NA,3,1,98,1,98,1,2,0,NA,3,9,99,0,4,3,NA,3,2,4,9,9,1,2,1,2,2,1,69,5,NA,0,6,NA,NA,NA,NA,NA,NA,15,7,1,2,1,"     999",9,9,3,7,4,1,5,3,3,2,9,2,2,2620,1,1,"30/03/2015",1,1,99,1,NA,NA,NA,NA,4,1,3,5,3,3,3,3,1,5,1,3,3,9,2,2,0,0,76,43,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"1280",16128,"16/03/2015",3,2,40,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,1,2,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,10,0,9,0,1,0,0,4,6,0,NA,NA,NA,NA,10,0,0,9,1,0,0,0,5,6,0,NA,NA,NA,NA,NA,2,2,4,1,5,5,5,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,2,3,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,3,3,1,3,4,8,1,1,2,3,2,1,16,16,3,1991,1,1,9,2,1,1,1,1,15,7,1,1,1,"     999",2,2,4,5,3,1,5,NA,NA,NA,NA,NA,NA,7100,1,1,"30/03/2015",2,1,1,6,NA,NA,NA,NA,5,1,4,3,2,2,3,4,2,3,3,3,4,3,2,1,1,7,NA,NA,NA,82,80,NA,80,8,NA,NA,4,3
"1281",10343,"16/03/2015",3,1,28,2,1,1,3,3,30,3,2,4,3,2,2,2,3,1,2,3,4,2,1,3,3,4,2,7,7,7,7,1,2,NA,NA,NA,1,4,1,4,1,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,1,3,1,3,3,1,1,4,NA,NA,NA,5,2,NA,NA,2,1,1,0,0,0,0,0,NA,1,1,1,1,1,3,NA,9,9,9,9,9,6,1,NA,0,2,1,70,5,NA,0,2,NA,NA,NA,NA,NA,NA,15,7,2,1,1,"     999",2,9,99,99,3,1,4,9,9,9,9,9,9,7400,1,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1282",1862,"16/02/2015",1,1,39,3,1,1,5,4,18,5,3,4,1,1,3,1,1,1,2,3,4,2,1,2,4,3,1,7,7,7,7,3,9,NA,NA,NA,1,9,1,4,1,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,2,2,3,3,3,2,1,5,NA,NA,NA,6,8,NA,NA,9,1,3,2,0,2,0,10,NA,1,1,5,0,1,1,NA,3,4,3,8,1,1,2,2,2,3,1,61,5,NA,0,3,NA,NA,NA,NA,NA,NA,12,4,2,1,1,"     999",1,3,4,4,1,1,3,3,3,4,3,4,1,3000,1,1,"24/03/2015",2,1,3,5,NA,NA,NA,NA,4,1,5,5,5,5,1,5,4,5,5,5,5,4,1,1,3,1,NA,NA,NA,31,NA,NA,1,7,NA,NA,2,4
"1283",532,"15/02/2015",1,2,23,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,9,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,4,5,2,3,2,1,2,3,1,1,0,NA,NA,NA,NA,8,5,4,3,1,1,3,2,3,1,0,NA,NA,NA,NA,NA,2,5,4,5,1,1,3,2,4,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,8,4,1,1,2,4,2,0,1,2,0,1,9,9,99,0,1,3,3,1,9,9,8,8,6,1,NA,0,2,1,1,4,NA,0,1,2,4,1,1,1,1,12,4,2,1,1,"     999",1,9,99,99,9,9,9,NA,NA,NA,NA,NA,NA,8300,1,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284",963,"15/02/2015",1,2,29,2,2,1,9,9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,9,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,3,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,8,99,0,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,5,5,1,2,1,2,9,1,2,2,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9,3,8,4,1,2,4,94,9,0,9,0,0,1,9,3,99,0,4,3,3,3,2,4,8,8,6,1,NA,0,2,32,67,2,9999,0,1,3,9,3,2,3,2,12,4,1,1,2,"     999",1,2,6,2,9,1,5,NA,NA,NA,NA,NA,NA,8400,1,1,"29/03/2015",1,2,94,9,NA,NA,NA,8,3,1,4,4,4,4,3,3,4,3,3,3,4,3,6,2,0,0,64,68,NA,NA,NA,NA,NA,NA,NA,9,NA,3
"1285",595,"15/02/2015",1,1,24,2,1,1,2,1,21,9,3,4,4,2,2,3,1,1,2,4,3,2,1,3,4,4,2,7,7,7,7,1,3,NA,NA,NA,1,4,2,3,3,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,3,3,3,3,3,3,3,3,NA,NA,NA,6,1,NA,NA,2,1,5,2,0,1,3,0,NA,1,1,5,0,1,3,NA,1,1,2,3,1,1,1,NA,0,4,1,1,4,NA,0,31,NA,NA,NA,NA,NA,NA,14,4,2,1,1,"     999",2,2,3,2,2,1,2,3,1,3,3,2,2,3618,1,1,"24/03/2015",1,1,5,6,NA,NA,NA,NA,5,4,4,4,5,5,4,4,3,4,4,2,5,9,1,1,5,2,80,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,3
"1286",1941,"23/02/2015",1,2,39,3,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,2,10,7,8,99,3,5,2,5,10,2,NA,NA,NA,NA,10,5,10,9,5,5,10,0,10,5,5,NA,NA,NA,NA,NA,2,2,4,4,4,4,9,2,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,3,8,5,1,3,1,1,0,0,0,0,0,1,1,1,1,1,5,1,1,3,1,4,2,8,3,2,1,1,2,16,16,3,2002,1,1,3,1,4,4,4,4,12,4,1,1,1,"     999",2,1,1,1,4,1,5,NA,NA,NA,NA,NA,NA,1063,1,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1287",9084,"26/02/2015",2,1,76,7,1,1,2,2,40,5,5,3,4,2,3,2,2,3,2,1,4,1,1,3,3,3,3,7,5,4,7,4,9,NA,NA,NA,1,3,4,9,9,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,9,9,9,9,9,9,1,3,3,NA,NA,NA,5,8,NA,NA,9,2,6,9,0,9,0,0,NA,9,9,1,2,9,9,NA,9,1,2,8,8,5,2,2,2,1,17,17,3,2000,1,6,NA,NA,NA,NA,NA,NA,6,1,1,3,0,"     999",1,1,3,5,4,5,5,2,2,4,4,2,2,4000,3,1,"30/03/2015",1,1,6,6,NA,NA,NA,NA,9,1,4,5,4,3,3,3,3,5,4,2,4,9,6,1,6,2,98,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3
