"","a1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a32","a33","a34","a35","a36","a37","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","b6","b7","b8","b9","b10","b11","b12","b13","b14","b16","b17","b19","b20","b21","b23","b24","b26","b27","b28","b29","b30","b31","b32","b33","b35","b37","b38","b40","b41","b42","b44","b46","b47","b48","b51","b52","b55","b56","b64","b65","b66","b67","b68","b69","b70","b71","b72","b73","b74","b75","b76","b77","b79","b81","b83","b85"
"1169",20311,3,3,2,1,1,2,2,3,3,3,4,80,1,NA,4,2,3,4,4,3,3,4,26,4,2,4,4,2,32,3,NA,NA,NA,NA,NA,6,1,3,5,4,3,4,7,4,4,4,NA,4,3,2,4,4,4,2,2,2,4,5,1,3,1,1,5,3,3,3,NA,2,1,1,1,1,1,2,2,5,4,6,3,4,4,3,NA,17,2,NA,1,4,21,2,20,3,NA,5,4,NA,NA,NA,NA,NA,NA,12,2,3,5,9,NA,1,109,1,12,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2
"1170",20321,1,1,6,2,2,4,2,2,3,3,2,0,2,NA,4,2,4,1,3,3,4,3,26,1,1,1,3,1,35,1,NA,NA,NA,NA,1,5,1,1,1,8,3,2,8,2,4,2,NA,4,4,3,4,4,4,4,4,4,6,1,1,4,1,1,1,1,1,5,NA,4,3,1,4,3,4,4,4,3,3,5,2,3,2,1,NA,14,4,NA,NA,2,14,2,20,3,NA,5,3,2,4,1,NA,NA,NA,12,1,2,5,10,NA,2,111,1,12,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,1
"1171",20331,1,1,2,2,2,3,2,2,4,2,3,0,2,NA,4,2,4,2,3,2,2,2,26,1,1,1,3,1,35,2,NA,NA,NA,NA,1,5,1,1,1,6,1,2,7,2,5,3,NA,4,2,3,4,4,4,3,4,4,5,2,3,2,1,2,3,2,2,2,NA,4,3,1,4,4,4,4,4,3,2,4,2,2,2,1,NA,16,4,NA,1,2,14,2,35,3,NA,5,2,3,4,1,NA,NA,NA,9,NA,5,4,5,NA,2,111,1,12,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA
"1172",20341,1,1,6,3,1,4,2,2,3,3,3,73,2,NA,4,2,3,1,1,3,3,4,29,1,1,1,3,1,35,1,NA,NA,NA,NA,1,7,1,2,1,9,5,2,8,4,7,4,NA,4,4,4,3,4,4,NA,3,2,5,2,1,1,1,1,1,2,2,1,NA,4,1,2,4,1,4,4,2,5,4,6,4,4,4,2,NA,17,4,NA,1,2,17,2,31,2,NA,5,4,2,3,1,NA,NA,NA,12,2,2,5,6,NA,1,104,1,12,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4
"1173",20351,5,3,2,1,3,2,1,1,3,1,1,20,2,NA,4,2,4,3,3,3,4,3,25,4,1,1,3,1,34,2,NA,NA,NA,NA,1,5,1,3,1,10,1,5,7,1,NA,2,NA,4,4,4,4,4,4,4,4,2,5,1,1,3,1,1,1,4,3,5,NA,4,1,1,2,2,2,4,2,5,5,6,4,4,3,3,NA,15,4,NA,1,2,2,1,21,3,NA,5,3,2,4,1,NA,NA,NA,14,NA,3,4,5,NA,1,78,1,12,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,4
"1174",20361,1,1,5,1,1,4,3,4,4,4,4,70,1,NA,4,2,2,3,4,3,4,3,25,1,1,1,4,1,35,2,NA,NA,NA,NA,2,10,1,10,1,10,1,1,1,1,1,4,NA,5,3,4,4,4,3,4,4,4,7,5,4,4,5,5,5,3,4,5,NA,4,2,2,1,2,2,4,1,5,6,6,3,4,1,1,NA,20,3,NA,1,2,2,1,40,3,NA,5,1,4,3,2,NA,NA,NA,10,2,4,7,4,NA,2,61,1,12,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,5,NA
"1175",20371,1,1,2,3,4,1,2,4,3,4,4,50,1,NA,4,2,3,4,NA,NA,4,4,29,4,2,2,1,1,32,3,NA,NA,NA,NA,2,2,NA,5,1,NA,1,1,5,1,8,4,NA,2,1,4,4,4,4,1,4,4,6,5,5,5,5,5,5,3,1,3,NA,4,4,3,4,3,4,4,4,1,5,5,1,1,2,1,NA,99,3,NA,1,2,22,1,33,3,NA,6,3,1,NA,NA,NA,NA,NA,12,2,5,4,4,NA,1,114,1,12,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3
"1176",20381,1,1,2,NA,1,NA,NA,2,NA,NA,3,0,NA,NA,4,2,NA,3,3,NA,3,2,25,1,1,1,3,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,3,1,1,1,1,NA,4,NA,4,4,3,4,4,4,NA,4,4,NA,1,NA,NA,2,1,NA,4,2,2,NA,4,3,NA,NA,NA,NA,NA,NA,5,6,6,2,1,1,NA,NA,99,4,NA,1,2,99,2,22,2,NA,5,3,2,1,4,NA,NA,NA,12,1,1,4,8,NA,2,106,1,12,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,4
"1177",20391,1,1,3,2,4,4,1,4,1,3,1,0,1,NA,3,3,4,4,1,4,4,4,27,4,1,4,4,4,34,4,NA,NA,NA,NA,1,10,1,1,1,1,1,1,1,1,1,4,NA,4,4,1,1,4,4,1,4,4,7,4,4,4,4,4,4,2,3,5,NA,4,2,2,2,2,4,2,1,5,3,1,1,1,1,1,NA,23,2,NA,2,4,21,1,20,4,NA,5,3,2,4,1,NA,NA,NA,12,2,5,4,4,NA,2,122,1,12,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA
"1178",20401,2,2,4,2,1,4,1,1,4,3,2,99,1,NA,4,2,4,4,4,4,4,4,NA,2,2,4,2,4,NA,2,NA,NA,NA,NA,1,9,1,1,1,10,10,1,10,1,1,4,NA,2,4,4,4,4,4,4,2,2,4,5,5,5,5,5,5,2,2,1,NA,2,2,2,2,2,2,2,2,5,2,3,2,2,3,3,NA,1,2,NA,2,2,1,1,24,3,NA,5,2,3,4,1,NA,NA,NA,12,2,5,3,4,NA,2,122,1,12,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,8,NA
