"","a1","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a32","a33","a34","a35","a36","a37","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a52","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a67","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","b6","b7","b8","b9","b10","b11","b12","b13","b14","b16","b17","b19","b20","b21","b23","b24","b26","b27","b28","b29","b30","b31","b32","b33","b35","b37","b38","b40","b41","b42","b44","b46","b47","b48","b51","b52","b55","b56","b64","b65","b66","b67","b68","b69","b70","b71","b72","b73","b74","b75","b76","b77","b79","b81","b83","b85"
"1",3501,2,1,1,2,3,3,2,1,2,2,2,0,2,NA,NA,4,4,2,3,3,3,1,NA,3,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6,5,5,1,1,8,5,1,1,1,1,3,4,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,3,2,5,3,2,2,2,2,2,2,2,2,3,5,3,2,2,2,3,2,8,5,NA,1,2,11,1,75,2,1,NA,2,1,3,4,3,90,1,15,1,4,3,2,3,1,38,1,21,2,7,2,5,2,2,2,2,2,2,1,1,2,2,2,2,NA,NA,NA,NA
"2",3511,3,2,2,2,2,2,2,2,2,2,2,0,2,NA,NA,4,3,2,2,2,2,1,NA,3,4,3,3,3,33,2,NA,NA,NA,NA,NA,NA,4,5,1,1,4,10,3,1,1,2,1,5,4,4,4,4,4,4,2,2,4,3,3,3,3,4,4,3,2,4,2,2,2,2,2,2,2,4,2,3,5,5,2,3,3,3,2,23,2,NA,2,2,11,1,42,1,1,NA,2,3,1,4,3,95,1,13,2,4,3,3,NA,2,38,1,21,2,7,NA,1,1,1,1,1,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"3",3521,1,2,1,2,2,2,3,1,2,2,2,0,2,NA,NA,4,2,3,3,3,3,1,25,2,4,4,3,4,33,2,NA,NA,NA,NA,NA,7,1,8,4,1,8,8,8,1,1,1,3,4,2,3,3,3,4,4,3,3,4,5,3,3,3,5,3,3,3,5,2,2,2,2,2,2,2,2,2,4,2,3,2,2,2,1,3,23,2,NA,2,4,21,1,65,2,1,NA,1,2,3,4,3,99,1,15,1,5,3,2,3,1,42,1,21,2,7,2,6,2,2,2,2,2,2,2,1,2,2,2,1,NA,NA,NA,NA
"4",3531,2,2,2,2,3,3,2,2,2,2,1,0,2,NA,NA,4,3,3,2,2,3,1,NA,3,4,3,2,4,33,2,NA,NA,NA,NA,NA,5,8,4,1,1,5,7,3,1,1,2,2,4,4,3,3,3,4,4,3,2,5,4,3,3,3,4,4,3,1,4,2,2,2,3,3,2,4,4,4,2,4,5,2,2,2,1,2,23,2,NA,2,2,11,1,58,1,1,NA,2,4,1,3,3,90,1,12,2,4,3,5,NA,2,38,1,21,2,7,NA,1,2,1,1,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"5",3541,3,2,2,3,2,2,2,2,2,2,1,30,2,NA,NA,4,3,2,2,2,2,1,NA,3,4,3,2,4,33,3,NA,NA,NA,NA,NA,1,7,8,7,1,1,9,1,7,1,2,2,4,4,3,3,3,2,2,1,1,1,3,3,3,3,3,3,2,NA,5,3,1,3,3,3,1,1,4,4,2,3,5,2,2,1,1,2,2,2,NA,1,1,2,2,55,1,1,NA,2,4,1,3,3,89,1,15,1,3,4,2,3,1,38,1,21,2,7,NA,2,2,2,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA
"6",3551,3,2,2,2,2,2,2,2,2,2,1,0,2,NA,NA,4,3,2,3,2,2,1,NA,2,4,3,3,4,33,3,NA,NA,NA,NA,NA,4,NA,6,NA,1,6,NA,7,NA,1,2,2,4,3,2,2,2,3,4,NA,NA,4,4,2,2,2,5,2,3,1,4,3,1,3,3,1,1,4,4,4,2,4,5,2,3,2,1,2,12,6,NA,1,2,99,1,44,1,1,NA,2,4,1,3,3,90,1,NA,1,3,4,4,3,1,38,1,21,2,7,NA,2,2,2,1,1,2,2,2,2,2,2,2,1,NA,NA,NA,NA
"7",3561,1,1,2,2,2,1,1,3,2,2,2,0,2,NA,NA,3,3,2,2,3,3,1,28,4,4,3,3,3,33,3,NA,NA,NA,NA,NA,4,5,5,1,1,4,10,6,1,1,1,3,1,4,3,3,4,4,4,3,1,3,4,3,3,4,4,4,1,1,5,3,4,1,1,1,1,1,1,3,4,1,5,1,3,1,2,3,23,1,NA,2,1,2,1,46,1,1,NA,NA,NA,NA,NA,3,92,1,10,NA,4,3,3,3,2,42,1,21,2,7,2,2,2,2,2,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA
"8",3571,3,2,1,2,2,2,2,1,2,2,2,0,2,NA,NA,4,3,3,2,3,3,1,25,3,4,2,4,4,32,2,NA,NA,NA,NA,NA,NA,1,NA,1,1,5,7,1,1,1,2,2,1,3,4,4,4,3,4,3,4,4,5,3,3,4,4,4,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,3,1,2,3,9,2,NA,NA,2,11,1,44,2,1,NA,1,3,4,NA,3,90,1,12,NA,5,3,3,3,2,42,1,21,2,7,NA,5,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"9",3581,3,2,2,2,2,2,2,2,2,2,2,10,2,NA,NA,4,3,2,2,3,2,1,NA,3,4,3,3,4,NA,3,NA,NA,NA,NA,NA,6,4,4,1,1,7,5,5,1,1,2,2,1,4,3,3,2,4,4,2,2,6,4,3,3,3,3,3,4,2,5,3,2,2,3,3,2,4,4,2,2,5,5,3,3,1,3,2,1,2,NA,2,2,1,1,72,1,1,NA,3,4,2,1,3,93,1,14,2,5,3,2,3,1,38,1,21,2,7,NA,1,2,1,1,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"10",3591,2,2,1,2,2,2,2,2,2,2,4,0,2,NA,NA,4,2,1,1,2,2,1,27,4,4,2,3,4,32,1,NA,NA,NA,NA,NA,2,7,5,2,1,1,7,3,1,1,2,1,4,3,4,4,2,4,4,1,NA,3,5,3,3,2,5,5,3,2,5,3,1,1,1,3,1,1,4,4,5,5,5,1,1,1,3,3,23,6,NA,1,1,12,1,47,1,1,NA,2,3,4,1,3,91,1,15,1,4,3,4,3,1,42,1,21,2,7,1,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA
"11",3601,2,1,2,2,1,1,1,1,1,1,1,0,2,NA,NA,4,3,2,2,2,2,1,NA,3,4,3,3,4,33,1,NA,NA,NA,NA,NA,2,5,4,3,1,2,4,2,5,1,2,2,4,4,3,3,3,1,2,3,NA,2,4,2,2,2,4,4,4,2,5,2,1,3,3,3,1,1,4,1,2,5,5,4,3,1,1,1,12,1,NA,1,1,12,2,61,1,1,NA,2,1,4,3,3,94,1,15,1,4,2,3,3,2,42,1,21,2,7,2,2,2,2,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA
"12",3611,3,2,2,2,2,2,2,1,1,2,1,10,2,NA,NA,4,3,2,2,2,2,1,NA,3,4,3,2,4,33,3,NA,NA,NA,NA,NA,6,6,5,3,1,6,2,7,2,1,2,2,4,4,3,3,2,3,3,3,NA,4,4,3,3,2,3,2,3,2,3,3,4,4,3,3,3,4,4,4,2,4,5,3,3,2,3,1,1,5,NA,1,2,8,1,46,1,1,NA,2,1,3,4,3,90,1,13,2,3,4,3,3,1,42,1,21,2,7,2,3,2,2,1,1,2,2,2,1,2,2,1,1,NA,NA,NA,NA
"13",3621,2,2,1,1,2,2,2,2,2,2,3,0,2,NA,NA,4,3,2,3,3,3,1,28,2,4,3,3,4,36,2,NA,NA,NA,NA,NA,1,7,7,6,1,3,3,5,1,1,1,2,1,4,4,3,3,2,4,1,1,4,2,2,2,2,2,2,2,1,3,3,4,3,3,NA,1,1,1,3,4,5,5,4,4,4,2,2,13,2,NA,1,2,12,1,60,2,1,NA,1,3,2,4,3,92,1,15,1,5,3,1,3,2,42,1,21,2,7,1,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA
"14",3631,3,2,NA,2,2,2,2,3,2,2,2,0,2,NA,NA,4,2,4,1,3,3,2,25,4,4,2,2,4,32,3,NA,NA,NA,NA,NA,1,1,5,3,1,5,5,4,NA,1,3,3,1,2,3,3,4,3,4,2,2,4,4,2,2,3,3,1,3,3,5,1,2,NA,2,2,2,2,2,NA,2,5,4,2,1,1,2,3,23,2,NA,2,2,99,1,67,1,1,NA,1,2,4,3,3,96,1,15,1,4,3,3,2,1,42,1,21,2,7,2,1,2,2,2,2,2,2,1,1,2,2,2,2,NA,NA,NA,NA
"15",3641,1,2,1,2,1,1,1,1,1,2,2,0,2,NA,NA,4,2,2,2,2,3,1,28,3,4,2,4,4,35,3,NA,NA,NA,NA,NA,3,10,10,1,1,3,8,4,1,1,3,3,1,4,3,3,3,4,3,3,3,3,5,3,3,3,5,5,2,2,5,3,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,NA,1,1,2,1,75,2,2,NA,2,1,4,3,3,91,1,7,NA,3,2,1,3,2,42,1,21,2,7,NA,2,2,2,1,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA
"16",3651,3,3,2,2,2,2,1,1,2,2,2,0,2,NA,NA,4,3,2,3,3,3,1,26,4,4,3,3,4,32,2,NA,NA,NA,NA,NA,6,2,2,1,1,4,5,10,1,1,3,3,1,4,3,3,2,4,4,3,3,4,5,3,3,4,2,4,3,2,5,2,2,2,3,3,2,2,2,4,4,5,5,2,2,3,2,3,11,5,NA,2,1,11,1,58,2,1,NA,1,2,3,4,3,96,1,10,NA,4,3,3,3,1,42,1,21,2,7,1,1,2,2,2,2,2,2,2,1,2,2,1,1,NA,NA,NA,NA
"17",3661,2,2,2,2,3,2,2,2,2,2,1,0,2,NA,NA,3,3,2,3,3,2,1,27,2,3,3,3,4,36,2,NA,NA,NA,NA,NA,5,2,4,1,1,4,4,5,2,1,2,2,1,2,3,3,1,2,2,4,3,4,2,2,2,2,4,4,4,1,4,3,2,3,2,3,3,4,4,4,3,3,5,1,2,1,1,2,23,5,NA,1,2,11,3,35,1,1,NA,2,1,3,4,3,90,1,15,1,3,5,4,3,2,42,1,21,2,7,NA,1,1,1,2,2,2,2,2,2,2,2,1,1,NA,NA,NA,NA
"18",3671,2,2,2,2,3,3,2,1,2,2,2,0,2,NA,NA,3,3,2,2,3,3,1,27,3,4,2,3,4,36,2,NA,NA,NA,NA,NA,5,3,3,2,1,5,3,7,2,1,2,2,3,4,4,4,3,4,4,4,3,6,3,2,2,2,3,3,3,1,4,3,2,3,2,3,3,4,4,4,3,5,5,2,3,1,1,2,1,2,NA,NA,2,11,2,63,1,1,NA,2,3,1,4,3,91,1,15,1,4,3,2,NA,2,42,1,21,2,7,2,1,2,2,2,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"19",9001,3,3,22,1,1,2,2,2,1,3,2,30,2,NA,NA,4,4,3,4,4,4,3,28,3,3,4,3,3,34,4,NA,NA,NA,NA,NA,8,4,4,2,1,9,6,8,7,2,4,2,4,4,3,3,3,3,3,2,2,4,3,3,3,3,3,3,2,1,4,2,2,2,2,2,2,2,2,2,1,4,5,3,2,1,2,3,1,2,NA,2,2,1,NA,70,3,2,NA,3,2,1,4,2,33,NA,12,2,3,3,2,2,2,447,1,21,1,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,NA,NA,NA,NA
"20",9011,2,3,1,3,3,2,2,3,3,2,3,50,1,NA,NA,4,3,3,2,2,3,4,29,3,3,1,3,4,35,1,NA,NA,NA,NA,NA,5,3,4,6,1,7,10,9,8,2,4,3,5,3,3,1,4,4,1,1,1,7,1,4,1,2,5,5,2,3,2,1,1,1,2,1,2,1,1,1,3,4,5,4,2,3,2,2,20,1,NA,1,2,2,2,19,1,1,NA,4,2,1,3,6,NA,NA,12,2,2,3,3,3,2,149,1,21,1,6,1,2,1,2,1,1,1,2,2,2,2,2,2,1,NA,NA,NA,NA
"21",9021,2,2,9,4,4,4,4,4,1,1,3,40,2,NA,NA,2,2,4,4,4,4,4,25,2,2,2,4,2,35,2,NA,NA,NA,NA,NA,7,1,1,1,3,5,4,8,1,NA,4,3,2,2,2,4,4,4,3,2,2,5,5,3,3,5,5,2,3,2,5,4,3,3,3,3,NA,3,2,4,1,3,5,1,1,1,2,NA,23,1,NA,1,2,4,1,37,1,1,NA,1,4,2,3,10,NA,NA,16,1,NA,2,4,2,2,472,1,21,1,6,2,1,1,1,2,2,1,2,2,1,2,2,2,1,NA,NA,NA,NA
"22",9031,1,1,11,1,1,1,1,1,NA,NA,1,40,2,NA,NA,4,4,4,1,3,2,3,25,4,3,NA,3,2,32,2,NA,NA,NA,NA,NA,6,4,1,4,1,6,3,5,1,1,3,1,4,4,4,3,3,4,4,4,4,6,1,NA,5,2,5,5,4,4,5,2,2,1,2,2,1,2,1,2,5,6,6,4,3,0,3,2,5,2,NA,2,2,1,2,57,2,2,NA,4,1,2,3,1,50,NA,3,NA,3,4,4,3,2,65,1,21,1,3,2,2,2,2,2,1,1,2,1,1,2,2,2,2,NA,NA,NA,NA
"23",9041,2,1,2,3,3,4,3,3,3,4,3,50,1,NA,NA,2,2,2,4,4,4,4,26,1,4,1,2,2,32,2,NA,NA,NA,NA,NA,5,1,1,2,5,5,3,8,5,6,NA,4,NA,3,4,4,1,4,4,3,2,6,1,1,5,5,5,1,3,3,4,4,4,3,4,2,4,2,2,4,3,1,6,1,3,0,1,3,4,4,NA,2,2,1,1,39,3,2,NA,1,4,3,2,6,NA,NA,14,2,4,5,6,3,2,139,1,21,1,4,2,1,1,1,2,2,1,2,2,2,2,2,1,1,NA,NA,NA,NA
"24",9051,1,1,5,3,1,4,1,1,1,1,3,50,2,NA,NA,3,3,3,3,4,4,2,25,3,4,1,4,1,33,2,NA,NA,NA,NA,NA,6,8,8,4,1,4,8,10,7,4,1,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,5,2,1,1,2,2,1,1,1,1,5,5,5,4,4,1,1,2,1,3,NA,NA,2,10,2,29,2,1,NA,1,2,3,4,7,NA,NA,13,2,1,4,4,2,2,139,1,21,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA
"25",9061,1,2,1,2,2,3,1,1,1,2,2,40,2,NA,NA,3,3,3,2,3,3,2,28,3,3,3,3,3,33,3,NA,NA,NA,NA,NA,6,5,5,3,1,7,5,3,2,1,3,2,1,4,4,4,2,3,3,3,1,4,4,3,3,3,4,4,3,2,5,1,4,3,1,3,1,1,2,4,2,2,5,3,3,1,2,2,7,1,NA,1,2,1,1,56,2,2,NA,2,1,3,4,1,69,NA,8,2,2,6,10,2,2,370,1,21,1,7,2,2,2,2,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA
"26",9071,2,1,1,1,1,1,1,1,1,1,1,0,2,NA,NA,3,3,3,2,3,3,1,25,3,2,2,3,3,36,2,NA,NA,NA,NA,NA,1,8,8,5,1,1,9,2,1,1,4,1,4,4,4,4,4,4,4,1,1,1,5,4,4,3,5,5,2,2,5,1,1,1,1,1,1,1,1,1,2,1,1,4,3,0,2,1,5,1,NA,1,1,5,1,26,4,3,NA,2,4,1,3,10,NA,NA,18,1,4,4,4,2,2,171,1,21,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,NA,NA,NA,NA
"27",9081,1,1,1,2,1,1,1,1,1,1,1,10,2,NA,NA,4,4,1,1,1,1,1,NA,4,2,4,1,4,34,2,NA,NA,NA,NA,NA,1,9,8,10,1,1,8,2,7,1,2,1,4,4,1,1,4,4,4,1,1,6,5,5,5,5,5,5,4,3,5,1,1,1,1,1,1,1,1,1,2,4,4,4,1,1,3,1,6,1,NA,1,1,6,1,24,4,3,NA,4,2,1,3,6,NA,NA,14,2,4,7,9,2,2,171,1,21,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA
"28",9091,3,3,1,3,4,4,4,1,4,3,3,45,1,NA,NA,2,1,1,4,4,4,4,27,1,2,1,3,2,35,3,NA,NA,NA,NA,NA,7,5,5,4,5,7,4,9,3,6,4,4,1,2,3,3,1,4,4,3,2,5,3,1,1,4,4,1,3,4,4,4,2,3,2,3,1,2,3,4,5,5,6,4,4,1,2,3,4,2,NA,1,2,4,2,56,2,2,NA,1,2,4,3,2,51,NA,12,2,5,4,2,2,2,135,1,21,1,3,NA,1,1,2,1,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"29",9101,2,2,1,3,3,3,3,1,2,3,3,40,NA,NA,NA,4,3,4,4,3,3,2,25,2,3,1,2,2,33,3,NA,NA,NA,NA,NA,7,4,5,3,2,6,5,5,2,2,1,1,4,2,3,3,4,4,4,2,2,5,4,3,3,4,4,4,3,2,4,4,4,2,2,3,3,3,2,4,2,5,5,2,3,2,3,3,1,2,NA,1,2,8,1,20,1,1,NA,1,2,4,3,6,NA,NA,12,2,3,5,4,2,2,447,1,21,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,1,NA,NA,NA,NA
"30",9111,4,3,1,3,4,4,4,4,4,3,2,80,1,NA,NA,4,2,1,4,4,4,4,26,1,2,2,4,4,36,3,NA,NA,NA,NA,NA,8,2,1,1,1,10,4,6,1,1,4,3,2,3,3,4,4,2,2,2,2,4,2,3,4,5,5,3,4,1,5,3,2,2,2,2,4,3,2,2,2,4,5,2,2,1,2,2,1,2,NA,2,2,1,1,70,2,1,NA,1,2,4,3,4,47,NA,14,1,3,3,2,3,2,473,1,21,1,6,2,1,1,2,2,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"31",9121,1,2,1,2,1,1,1,1,1,1,2,30,2,NA,NA,2,4,1,2,3,3,2,27,2,4,4,4,4,36,3,NA,NA,NA,NA,NA,2,8,8,9,2,4,10,7,NA,4,NA,1,1,4,4,4,4,3,4,1,1,3,5,1,4,5,3,5,1,1,5,1,1,1,1,1,1,1,1,1,5,4,6,1,1,0,2,1,2,1,NA,1,1,2,1,52,3,3,NA,2,3,1,3,8,NA,NA,12,NA,4,5,6,2,2,246,1,21,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,NA,NA,NA,NA
"32",9131,1,1,1,1,1,1,1,2,1,1,2,70,2,NA,NA,3,4,4,3,3,4,4,28,4,3,3,4,3,32,3,NA,NA,NA,NA,NA,8,7,5,5,3,8,5,9,3,2,4,3,4,4,4,3,2,3,3,2,2,7,2,1,2,1,2,1,3,1,5,4,2,2,2,2,2,2,2,2,5,5,5,2,1,1,2,4,1,2,NA,2,2,1,1,38,2,1,NA,1,4,2,3,9,NA,NA,18,1,3,6,4,1,2,447,1,21,1,3,2,1,1,1,2,2,2,2,2,2,2,2,1,1,NA,NA,NA,NA
"33",9141,1,1,1,2,3,3,2,3,3,3,1,0,2,NA,NA,2,3,4,3,3,4,4,25,2,2,3,3,3,35,NA,NA,NA,NA,NA,NA,10,1,1,1,1,5,1,10,1,1,1,2,1,2,2,2,3,3,2,2,2,6,4,4,3,3,4,3,1,2,2,4,2,2,2,2,2,2,2,2,2,3,5,3,3,3,2,4,8,1,NA,1,4,21,1,18,1,1,NA,1,3,2,4,6,NA,NA,12,2,3,4,4,2,2,139,1,21,1,4,2,1,2,2,2,2,2,1,1,2,2,2,1,1,NA,NA,NA,NA
"34",9151,3,1,22,2,4,1,1,1,1,1,2,20,2,NA,NA,2,3,2,3,4,4,2,27,3,3,3,4,4,36,2,NA,NA,NA,NA,NA,4,6,7,5,2,2,5,5,2,6,2,3,1,4,4,4,2,4,4,1,1,4,5,5,4,4,5,5,4,3,5,4,1,3,1,3,1,1,3,1,4,6,6,4,2,1,2,4,23,1,NA,1,2,2,1,52,2,2,NA,1,2,4,3,6,NA,NA,16,1,NA,NA,5,3,2,447,1,21,1,3,1,6,2,1,1,2,1,1,2,1,2,2,1,1,NA,NA,NA,NA
"35",9161,2,2,1,4,2,3,2,3,2,3,2,30,2,NA,NA,3,3,3,2,2,3,2,25,2,1,2,2,2,33,3,NA,NA,NA,NA,NA,7,5,4,5,3,4,5,8,5,2,3,3,2,3,2,4,3,3,3,2,2,5,4,3,3,4,2,1,1,1,2,3,4,2,2,2,2,1,3,3,3,1,1,1,1,2,1,3,4,5,NA,2,2,4,1,21,1,1,NA,1,4,2,3,9,NA,NA,12,2,3,2,2,2,2,111,1,21,1,6,2,1,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA
"36",9171,2,NA,1,2,1,1,1,1,1,4,1,3,2,NA,NA,4,4,1,1,1,1,1,NA,4,4,4,4,4,33,NA,NA,NA,NA,NA,NA,2,7,8,9,1,1,NA,3,9,1,2,1,4,4,1,1,4,4,4,1,1,2,5,1,5,5,5,5,2,3,3,1,1,1,1,3,1,1,4,1,4,1,1,2,2,1,3,4,3,1,NA,1,1,3,1,32,4,4,NA,2,4,1,3,8,NA,NA,NA,2,5,4,6,2,2,466,1,21,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,NA,NA,NA,NA
"37",9181,1,1,12,1,3,4,3,3,2,3,3,60,2,NA,NA,2,4,4,3,4,3,2,25,4,4,2,2,4,32,2,NA,NA,NA,NA,NA,5,5,5,3,2,1,2,3,8,2,4,1,1,4,4,4,2,3,4,1,1,5,5,NA,3,3,5,5,4,4,2,4,1,1,1,1,1,1,NA,1,5,5,6,3,2,2,2,2,2,1,NA,1,3,4,1,36,2,2,NA,1,4,2,3,7,NA,NA,12,2,1,3,5,2,2,79,1,21,1,3,2,1,2,2,2,1,1,1,2,2,2,2,2,1,NA,NA,NA,NA
"38",9191,3,2,1,1,1,3,1,1,2,2,3,50,2,NA,NA,4,4,3,3,4,3,3,27,2,3,3,2,4,36,3,NA,NA,NA,NA,NA,6,5,5,2,1,7,2,8,2,1,4,3,2,4,4,4,2,3,4,4,4,4,1,1,1,4,5,5,4,1,5,2,NA,3,3,3,3,3,2,NA,1,5,5,4,2,1,2,3,23,5,NA,NA,NA,99,2,57,2,1,NA,1,4,2,3,10,NA,NA,12,2,2,5,1,2,2,135,1,21,1,3,2,3,2,2,2,2,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"39",9201,4,2,1,2,1,1,1,1,1,1,1,0,2,NA,NA,4,4,3,2,3,2,1,25,3,4,3,4,4,36,3,NA,NA,NA,NA,NA,6,6,10,9,1,6,10,6,6,1,NA,1,1,4,4,3,3,4,4,3,3,3,5,4,3,5,5,5,1,1,5,2,1,3,3,3,3,3,3,3,3,2,5,1,1,0,2,2,2,1,NA,1,1,2,1,51,3,3,NA,2,1,3,4,1,85,NA,8,2,4,3,7,2,2,246,1,21,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,NA,NA,NA,NA
"40",9211,2,1,11,2,1,1,1,1,1,1,1,20,2,NA,NA,4,4,1,1,3,3,1,28,3,4,2,4,4,33,2,NA,NA,NA,NA,NA,1,7,9,7,1,5,7,6,1,4,2,3,3,4,4,4,4,3,4,1,1,NA,2,1,3,3,5,5,4,4,5,1,1,1,2,1,1,1,1,1,5,5,6,3,1,0,2,2,2,1,NA,1,1,2,3,69,2,2,NA,1,2,3,4,6,NA,NA,12,NA,2,6,2,1,2,246,1,21,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,NA,NA,NA,NA
"41",9221,1,2,1,2,2,1,2,2,1,2,1,10,2,NA,NA,2,3,3,2,3,3,3,25,3,3,2,3,3,32,2,NA,NA,NA,NA,NA,1,6,8,6,1,3,6,5,2,4,2,2,2,3,2,2,3,3,3,1,1,1,3,4,4,4,4,4,1,1,1,3,1,1,1,1,1,1,1,1,4,3,5,2,3,3,3,3,2,1,NA,1,1,2,3,35,3,3,NA,4,3,2,1,7,NA,2,12,2,3,4,5,2,2,NA,1,21,1,4,2,2,2,2,2,2,1,2,2,1,2,2,1,1,NA,NA,NA,NA
"42",9231,1,1,1,2,2,2,2,2,2,2,1,0,2,NA,NA,3,3,2,2,3,3,3,29,2,3,3,3,3,35,2,NA,NA,NA,NA,NA,1,8,10,1,1,1,5,1,3,1,NA,1,2,3,3,3,3,3,3,1,1,1,4,4,4,4,4,4,2,2,2,4,1,1,1,1,1,1,1,1,5,5,5,2,3,3,3,1,2,1,NA,1,1,2,2,44,3,1,NA,1,2,3,4,7,NA,2,15,2,4,6,4,2,2,139,1,21,1,4,2,2,1,1,2,2,2,1,1,2,2,2,2,2,NA,NA,NA,NA
"43",9241,1,1,12,2,NA,2,NA,2,2,NA,2,50,2,NA,NA,4,2,3,1,4,4,1,27,4,4,4,3,4,36,3,NA,NA,NA,NA,NA,4,7,5,3,1,3,3,1,2,5,3,2,4,4,4,4,3,4,4,4,3,4,4,1,1,5,4,5,1,3,5,4,4,1,1,3,1,1,4,4,1,4,5,2,2,1,2,2,23,6,NA,NA,2,99,1,72,2,2,NA,1,2,4,3,9,NA,NA,12,1,3,3,1,2,2,139,1,21,1,4,1,6,2,2,2,2,1,2,2,2,1,2,2,2,NA,NA,NA,NA
"44",9251,2,1,1,1,2,2,1,1,2,1,2,99,2,NA,NA,3,3,3,3,4,4,3,28,4,4,4,4,4,36,3,NA,NA,NA,NA,NA,8,5,6,3,2,8,4,9,3,2,2,2,4,4,4,3,2,3,2,2,2,1,3,4,3,2,2,2,1,1,4,2,2,2,2,2,2,2,2,2,1,1,5,1,1,1,2,3,23,2,NA,2,1,20,1,80,1,1,NA,2,1,3,4,3,58,NA,12,2,3,2,1,2,2,447,1,21,1,3,2,1,2,2,2,2,2,1,1,1,2,1,2,2,NA,NA,NA,NA
"45",9261,1,1,1,1,1,1,1,1,1,1,1,35,2,NA,NA,4,4,3,2,3,4,1,28,3,4,4,3,4,36,2,NA,NA,NA,NA,NA,1,8,10,9,1,6,6,2,7,1,4,1,4,4,3,4,4,2,2,1,1,2,4,4,5,5,5,5,4,1,3,3,1,1,3,1,1,1,1,1,5,5,5,4,4,1,2,1,2,1,NA,1,1,3,1,56,4,3,NA,2,1,3,4,1,52,NA,10,2,3,4,4,3,2,79,1,21,1,3,2,2,2,2,1,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA
"46",9271,2,3,2,4,4,4,4,4,4,3,2,NA,1,NA,NA,1,2,2,NA,4,2,3,27,1,2,3,2,2,34,2,NA,NA,NA,NA,NA,10,2,2,5,4,6,1,8,1,8,4,3,3,1,2,4,4,4,1,4,2,7,5,2,2,4,4,1,2,1,5,2,2,3,3,2,3,3,2,4,1,5,2,2,3,1,2,3,23,2,NA,NA,2,4,1,50,2,1,NA,1,4,3,2,5,67,NA,20,1,3,5,2,2,2,354,1,21,1,6,2,1,2,2,2,2,1,2,2,1,2,2,1,1,NA,NA,NA,NA
"47",9281,1,1,2,4,1,3,3,2,4,NA,4,50,2,NA,NA,2,2,4,4,4,4,4,29,1,1,3,3,1,35,2,NA,NA,NA,NA,NA,7,1,3,5,8,8,1,10,4,7,4,3,1,2,4,4,3,1,1,2,2,7,2,2,1,5,3,4,3,3,3,3,2,2,2,2,2,2,2,2,5,5,6,1,1,1,1,3,1,3,NA,1,2,1,1,62,1,1,NA,NA,NA,NA,NA,6,NA,NA,12,2,2,3,4,2,2,139,1,21,1,4,2,1,2,2,2,2,1,2,2,2,2,2,1,1,NA,NA,NA,NA
