"","caseid","id_svv_2","a6","a7","a8","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","a41","a42","a43","a44","a45","a46","a47","a48","a49","a50","a51","a53","a54","a55","a56","a57","a58","a59","a60","a61","a62","a63","a64","a65","a66","a68","a69","a70","a71","a72","a73","a74","a75","a76","a77","a78","a79","a80","a81","a82","a83","a84","a85","a86","a87","a88","a89","a90","a91","a92","a93","a94","a95","a96","a97","b6","b7","b11","b13","b15","b17","b19","b21","b23","b25","b26","b27","b28","b29","b30","b31","b32","b33","b34","b35","b36","b37","b38","b39","b40","b41","b42","b43","b44","b45","b46","b47","b48","b49","b50","b51","b52","b53","b54","b55","b56","b57","b58","b59","b60","b61","b62","b63","b64","b66","b67","b69","b70","b71","b72","b73","b75","b78","b81","b84","b87","b89","b91","b93","c6","c9","c12","c15","c18","c21","c24","c27","c28","c29","c30","c31","c32","c33","c34","c36","c38","c40","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c56","c57","c60","c62","c63","c65","c67","c68","c69","c72","c75","c77","c78","c80","c81","c82","c84","c86","c87","c88","c89","c90","c93","c94","day","month","origin","d5","d6","d8","d10","d11","d13","d14","d15","d16","d17","d18","d19","d20","d21","d23","d24","d25","d26","d27","d28","d29","d30","d31","d33","d34","d36","d37","d38","d40","sevev"
"505",550,NA,3,3,25,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,3,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,4,4,3,2,1,4,NA,2,3,NA,NA,NA,3,8,8,4,9,1,1,1,62,8,7,4,9,1,9,1,9,2,2,3,1,3,1,1,3,3,1,1,3,1,1,2,3,1,1,2,1,2,1,NA,3,8,4,5,8,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,3,2,1,3,3,2,NA,2,NA,5,3,5,2,5,NA,NA,4,97,100,50,40,30,35,20,18,7,80,50,40,50,30,40,30,10,2,1,5,2,8,1,32,2,1,4,1,1,2,3,4,NA,NA,NA,NA,2,2,1,75,2,31,NA,NA,NA,NA,NA,NA,16,16,17,1,"30",2,NA,3,2,3,1,1,2,230,1,2,9,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"506",551,633,2,3,7,NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,2,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,1,3,4,1,4,3,1,NA,2,2,NA,NA,NA,3,3,2,3,10,5,5,5,63,1,1,5,8,2,10,5,4,6,6,3,NA,2,3,2,3,5,2,2,3,5,5,3,1,1,1,3,1,1,1,NA,5,5,5,3,10,8,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,1,2,3,1,2,NA,4,NA,4,1,3,2,5,NA,NA,3,97,100,20,50,NA,20,6,10,NA,50,100,60,100,50,70,0,3,7,5,10,6,1,10,30,3,3,1,2,1,4,2,3,NA,NA,NA,NA,8,4,8,24,4,1,NA,NA,NA,NA,NA,NA,64,64,14,1,"08",4,NA,3,6,2,1,3,2,386,1,2,9,3,7,2,NA,90,4,5,3,2,1,4,4,4,4,4,18,4,4,4,4,4,1,2,1,24,1,12,2,1,3,4,1
"507",552,502,2,3,17,NA,NA,NA,NA,NA,3,2,NA,NA,NA,3,1,NA,NA,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,3,4,4,4,2,1,4,NA,2,4,NA,NA,NA,3,10,8,1,NA,1,1,5,59,10,8,1,8,5,10,1,1,1,1,3,1,3,1,1,3,5,1,2,5,1,2,3,1,1,1,3,4,1,1,NA,5,10,2,2,5,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,2,1,2,1,2,NA,3,NA,4,1,6,4,5,NA,NA,1,1,100,80,NA,NA,40,35,10,NA,80,10,80,80,10,80,NA,10,1,1,8,1,8,1,32,2,1,2,1,2,1,4,3,NA,NA,NA,NA,8,3,1,60,2,56,49,NA,NA,NA,NA,NA,56,56,8,NA,"Y3",3,NA,3,2,3,1,1,2,135,1,2,14,3,2,1,1,17,4,5,4,2,2,5,5,5,3,5,18,2,4,2,3,5,3,3,2,60,1,8,2,1,2,4,1
"508",553,1221,3,3,11,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,4,NA,NA,4,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,4,2,3,2,2,3,NA,1,1,NA,NA,NA,3,9,8,1,8,1,1,1,NA,8,7,1,10,2,10,3,4,2,1,1,3,3,1,1,3,1,1,2,3,3,5,4,2,1,1,1,1,2,3,NA,2,8,3,5,4,9,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,1,2,1,2,3,2,NA,2,NA,5,3,5,4,5,NA,NA,1,1,100,80,30,100,39,18,14,39,80,40,40,70,60,80,50,10,3,3,5,4,7,5,27,2,1,2,2,1,4,2,3,NA,NA,NA,NA,1,3,1,60,1,25,57,NA,NA,NA,NA,NA,25,25,16,1,"01",3,NA,5,2,3,1,1,2,82,1,2,14,3,3,1,1,17,2,6,4,2,3,3,3,4,2,5,20,3,4,1,4,3,1,1,1,60,1,16,2,1,20,4,1
"509",554,NA,3,2,19,NA,NA,NA,NA,NA,4,3,NA,NA,NA,3,3,NA,NA,2,2,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,1,4,3,3,3,3,2,NA,3,4,NA,NA,NA,3,10,10,5,7,6,4,4,NA,4,10,9,8,6,9,4,5,4,5,3,1,3,1,2,1,2,5,3,3,3,3,3,2,2,2,1,2,2,2,NA,7,10,0,4,10,10,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,2,2,3,1,2,NA,4,NA,4,1,5,4,3,NA,NA,3,1,50,80,50,50,20,30,15,20,100,100,100,70,70,90,40,10,10,8,6,10,10,6,31,3,1,1,2,1,2,4,3,NA,NA,NA,NA,8,3,1,23,2,1,NA,NA,NA,NA,NA,NA,1,1,12,2,"66",3,NA,4,5,2,1,2,2,82,1,2,14,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"510",555,503,4,4,23,NA,NA,NA,NA,NA,4,4,NA,NA,NA,2,2,NA,NA,1,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,4,4,3,3,2,3,NA,4,4,NA,NA,NA,1,9,8,5,5,3,3,3,59,8,8,6,10,4,9,2,6,5,6,2,3,3,1,1,2,4,4,5,3,5,5,3,2,3,1,2,3,2,1,NA,0,3,4,2,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,1,2,3,3,2,NA,1,NA,5,2,5,2,5,NA,NA,1,1,100,40,50,NA,60,40,30,NA,90,50,10,40,60,70,0,10,8,3,1,6,7,4,27,2,1,2,2,1,2,4,3,NA,NA,NA,NA,8,4,1,73,2,1,NA,NA,NA,NA,NA,NA,25,25,18,1,"08",4,NA,4,1,1,1,2,2,334,1,2,14,3,9,1,13,66,3,2,4,2,5,2,4,5,5,4,15,5,4,5,4,5,3,4,2,73,1,18,2,1,2,4,1
"511",556,528,3,4,21,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,1,NA,NA,2,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,4,3,4,3,1,1,4,NA,1,3,NA,NA,NA,2,7,7,2,9,4,2,2,62,6,7,1,8,3,6,2,8,3,4,3,1,3,1,3,1,5,4,2,4,4,4,1,4,1,1,2,1,1,2,NA,0,8,5,5,9,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,3,2,3,2,3,2,NA,1,NA,5,1,5,4,5,NA,NA,3,8,90,70,60,40,35,20,14,6,80,70,70,70,60,60,50,10,3,1,4,1,10,2,32,1,8,4,1,4,1,3,2,NA,NA,NA,NA,8,3,1,58,1,1,NA,NA,NA,NA,NA,NA,2,2,14,2,"21",3,NA,3,1,3,1,1,2,72,1,2,14,3,10,1,3,15,3,2,4,2,3,2,4,3,2,2,17,4,3,3,2,1,3,2,2,58,1,14,2,1,2,4,1
"512",557,367,2,2,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,3,1,4,1,1,1,4,NA,1,3,NA,NA,NA,3,8,6,2,7,2,2,2,59,7,4,1,9,2,7,2,7,2,2,1,3,1,3,1,3,3,2,1,1,2,3,3,1,2,3,1,1,1,1,NA,0,5,0,0,5,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,2,1,3,1,2,NA,1,NA,5,3,5,1,5,NA,NA,2,1,100,60,40,NA,39,19,12,NA,100,70,50,60,40,70,40,9,2,1,4,1,7,3,27,2,1,4,1,1,4,2,3,NA,NA,NA,NA,8,2,1,50,1,8,75,NA,NA,NA,NA,NA,2,58,16,1,"15",1,NA,6,4,3,1,1,2,302,1,2,14,3,4,1,1,15,2,4,3,1,2,2,3,4,4,3,18,4,4,4,2,4,3,2,1,50,1,16,2,1,31,3,1
"513",558,NA,4,3,17,NA,NA,NA,NA,NA,4,4,NA,NA,NA,2,3,NA,NA,2,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,3,4,4,2,3,1,2,NA,4,3,NA,NA,NA,3,9,4,6,1,7,3,2,59,8,5,7,5,2,9,3,2,8,7,3,2,3,1,1,3,5,1,1,1,1,1,3,1,1,1,1,1,1,1,NA,5,10,0,5,9,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,2,3,3,1,NA,3,NA,1,10,1,8,5,NA,NA,1,1,85,60,40,NA,40,30,20,NA,80,60,50,55,40,30,32,5,8,7,6,7,5,8,28,1,1,1,2,2,4,1,3,NA,NA,NA,NA,8,3,1,32,4,1,NA,NA,NA,NA,NA,NA,61,61,16,1,"32",2,NA,4,3,3,1,3,2,135,1,2,14,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"514",559,1079,3,2,1,NA,NA,NA,NA,NA,2,3,NA,NA,NA,2,3,NA,NA,2,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,3,1,2,2,1,1,2,NA,2,4,NA,NA,NA,3,8,1,1,1,1,1,1,59,8,1,1,4,1,7,1,1,1,3,1,2,1,3,1,3,3,3,3,3,3,3,1,4,3,4,4,2,4,3,NA,4,8,3,6,7,10,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,3,5,NA,1,3,NA,3,NA,5,1,5,2,5,NA,NA,1,16,80,40,30,NA,38,19,13,NA,90,10,10,10,20,40,10,5,1,1,1,1,3,1,27,34,16,3,1,4,2,3,1,NA,NA,NA,NA,1,2,1,71,2,1,NA,NA,NA,NA,NA,NA,2,2,14,1,"Y3",1,NA,3,2,1,1,1,2,392,1,2,14,3,10,1,1,15,2,6,4,1,2,3,2,5,5,5,20,4,5,5,3,2,3,1,1,71,1,14,2,1,6,4,1
